Título,Precio,M2,Habitaciones,Baños,Parking,Link
Piso en La Salut Barcelona,265.000 €,75,4,2,Sin plaza parking,
Piso  muy luminoso en Sant Martí Barcelona,205.000 €,71,3,1,,
Piso  en venta - la nova esquerra de l´ eixample en Barcelona,440.000 €,120,4,2,Sin plaza parking,
Piso  con 3 habitaciones en La Verneda - La Pau Barcelona,215.500 €,82,3,1,,
Piso obra nueva con balcon en Navas Barcelona,385.000 €,77,3,2,Plaza parking ,
Piso  venta calle provençals en Diagonal Mar - La Mar Bella Barcelona,464.000 €,86,3,2,Plaza parking ,
Piso maravillosa vivienda + parking en El Clot de la mel en Barcelona,550.000 €,128,3,2,Plaza parking ,
Piso venta de la nuda propiedad de un piso en Poble Sec. en Barcelona,39.000 €,80,4,2,Sin plaza parking,
Piso en Esquerra Alta de l´Eixample Barcelona,625.000 €,153,5,3,Sin plaza parking,
Piso  con 3 habitaciones en Guinardó Barcelona,196.000 €,69,3,1,,
Piso luminoso en La Verneda - La Pau Barcelona,128.000 €,54,3,1,Sin plaza parking,
Piso  con 3 habitaciones en Trinitat Vella Barcelona,110.000 €,62,3,1,,
Piso  con 3 habitaciones en Turó de la Peira - Can Peguera Barcelona,152.500 €,62,3,1,,
Piso en zona emblemática en Putget - Farró Barcelona,619.000 €,95,1,1,Plaza parking ,
Casa  oportunidad en Sant Andreu Barcelona,320.000 €,90,3,1,Sin plaza parking,
Piso en gran via de les corts catalanes a tu gusto en Barcelona,284.000 €,65,2,1,Sin plaza parking,
Piso ocasión!!!! en Raval Barcelona,153.500 €,45,1,1,Sin plaza parking,
Piso  de 4 habitaciones con balcon en Guinardó Barcelona,300.000 €,79,4,1,Sin plaza parking,
Piso obra seminueva con piscina en Sant Andreu Barcelona,298.000 €,66,2,4.515,,
Dúplex terraza de 25 m2 orientada a sur en Sant Gervasi - Bonanova Barcelona,750.000 €,192,4,4,,
Piso 120m en carrer cartagena obra nueva en Sagrada Família Barcelona,695.000 €,120,3,2,,
Piso ideal piso para parejas en Turó de la Peira - Can Peguera Barcelona,170.500 €,60,3,1,,
Piso terraza de 22 m2 en Provençals del Poblenou Barcelona,429.000 €,72,2,1,Sin plaza parking,
Loft  rehabilitado en Sagrada Família Barcelona,530.000 €,170,1,1,Sin plaza parking,
Piso  con 3 habitaciones y calefacción en Prosperitat Barcelona,156.500 €,51,3,1,,
Ático primera línea de mar en Poblenou Barcelona,1.995.000 €,120,2,3,Plaza parking ,
Piso nueva oportunidad en el barrio!! en Provençals del Poblenou Barcelona,185.000 €,70,3,1,,
Piso a pocos metros de plaza españa en Font de la Guatlla Barcelona,280.000 €,92,3,1,Sin plaza parking,
Piso  con 3 habitaciones en Horta Barcelona,168.000 €,71,3,1,,
Piso inmueble en av.madrid en Sants Barcelona,310.000 €,92,4,1,,
Piso  de venta en Verdun en Verdun Barcelona,88.025 €,50,2,1,Sin plaza parking,
Piso balcon-exterior en Poble Sec Barcelona,210.000 €,70,3,1,,
Piso obra nueva con balcon en Navas Barcelona,389.000 €,77,3,2,Plaza parking ,
Piso  amplio en aribau en Esquerra Alta de l´Eixample Barcelona,464.000 €,110,4,2,,
Piso en carrer sant pau magnifica ubicacion en Raval Barcelona,195.000 €,68,3,1,Sin plaza parking,
Piso  con 3 habitaciones en Besòs - Maresme Barcelona,123.500 €,54,3,1,,
Piso  alto esquinero con terraza en Sant Gervasi - Galvany Barcelona,1.380.000 €,205,4,2,Sin plaza parking,
Piso reformat amb sostres alts en Camp d´en Grassot - Gràcia N. Barcelona,295.000 €,50,1,1,Sin plaza parking,
Casa edificio venta.pg torras i bages en Sant Andreu Barcelona,990.000 €,208,4,2,Sin plaza parking,
Piso  venta calle berlín en Sants Barcelona,379.000 €,86,3,2,Sin plaza parking,
Piso en Vallcarca - Penitents Barcelona,773.000 €,180,5,3,Plaza parking ,
Piso al lado metro Canyelles (l3) en Canyelles Barcelona,179.000 €,93,3,1,Sin plaza parking,
Piso  con 3 habitaciones en Raval Barcelona,126.000 €,64,3,1,,
Piso en Carmel Barcelona,135.000 €,68,3,1,Sin plaza parking,
Piso  en turó park con terraza en Sant Gervasi - Galvany Barcelona,1.990.000 €,270,5,3,Plaza parking ,
Piso vivienda en Les Corts en Les Corts Barcelona,435.000 €,100,4,3,Sin plaza parking,
Piso obra nueva av. elies pagés en Sant Genís dels Agudells Barcelona,245.000 €,60,2,2,Plaza parking ,
Piso oportunidad calle paris!! en Esquerra Alta de l´Eixample Barcelona,449.000 €,90,4,2,Sin plaza parking,
Piso luminoso-buena ubicacion en Esquerra Baixa de l´Eixample Barcelona,260.000 €,50,3,2,Sin plaza parking,
Piso 94m obra nueva en Vila Olímpica Barcelona,555.000 €,94,3,2,,
Piso en Putget - Farró Barcelona,575.000 €,153,4,2,,
Piso  en venta en galvany en Sant Gervasi - Galvany Barcelona,295.000 €,60,2,1,Sin plaza parking,
Piso en cerca de passeig sant joan oportunidad piso para reformar en Barcelona,280.250 €,64,1,1,Sin plaza parking,
Piso rambla catalunya en Dreta de l´Eixample Barcelona,1.350.000 €,250,5,2,Sin plaza parking,
Piso  en venta c/ varsovia en Guinardó Barcelona,196.000 €,69,3,1,,
Ático en cerca de paseo sant joan excelente ático de obra nueva en Barcelona,895.000 €,134,3,2,Plaza parking ,
Piso  con 4 habitaciones en Sagrada Família Barcelona,386.000 €,104,4,2,,
Piso  con 3 habitaciones en Bon Pastor Barcelona,141.500 €,61,3,1,,
Piso nuevo a estrenar junto boqueria en Gòtic Barcelona,590.000 €,72,2,2,Sin plaza parking,
Piso obra nueva en Navas Barcelona,475.000 €,77,3,2,Sin plaza parking,
Piso  con 3 habitaciones en Verdun Barcelona,150.000 €,59,3,1,,
Piso reforma integral a estrenar! en Poblenou Barcelona,239.000 €,60,2,2,Sin plaza parking,
Piso inmejorable ubicacion. en Sagrada Família Barcelona,305.000 €,68,2,1,,
Piso junto calle princesa en St. Pere - Sta. Caterina - El Born Barcelona,380.000 €,70,2,1,Sin plaza parking,
Ático  con licencia turística en Sant Antoni en Barcelona,230.000 €,33,1,1,,
Piso obra nueva 2021 en Camp de l´Arpa Barcelona,265.000 €,57,2,1,Sin plaza parking,
Piso en Carmel Barcelona,178.000 €,82,4,1,Sin plaza parking,
Piso en Esquerra Baixa de l´Eixample Barcelona,360.000 €,92,4,2,Sin plaza parking,
"Piso  con balcón, salida desde el zona living en c/ tallers en Barcelona",286.000 €,74,2,1,Sin plaza parking,
Piso en Baix Guinardó Barcelona,820.000 €,143,4,2,Sin plaza parking,
Planta baja piso en venta en Porta Barcelona,151.500 €,58,3,1,Sin plaza parking,
Piso alegre y soleado !!! en Poblenou Barcelona,275.000 €,69,2,1,,
Piso apartamento gran oportunidad en en Vilapicina - Torre Llobeta Barcelona,230.000 €,70,3,1,Sin plaza parking,
Piso  con 2 habitaciones en Turó de la Peira - Can Peguera Barcelona,177.500 €,65,2,1,,
Piso  totalmente exterior en La Guineueta Barcelona,229.000 €,94,3,1,Sin plaza parking,
Piso en Camp de l´Arpa Barcelona,350.000 €,77,3,2,,
Dúplex en Vila Olímpica Barcelona,990.000 €,168,4,2,Sin plaza parking,
Piso licencia turística en Diagonal Mar - La Mar Bella Barcelona,440.000 €,80,2,2,Sin plaza parking,
Piso en carrer puerto principe en Congrés - Indians Barcelona,279.000 €,65,2,2,,
Piso  alto y muy luminoso en Badal Barcelona,433.000 €,120,3,2,Sin plaza parking,
Piso obra nueva alto standing en Vila de Gràcia Barcelona,359.000 €,72,2,1,Plaza parking ,
Piso precioso piso. 3 dormitorios. en Horta Barcelona,155.000 €,70,3,1,,
Piso vta. piso av.Pedralbes-m.girona en Pedralbes Barcelona,1.150.000 €,165,3,2,Plaza parking ,
Piso en Esquerra Alta de l´Eixample Barcelona,379.000 €,113,4,2,,
Piso  en vía laietana (ciutat vella / barri Gòtic) en Barcelona,590.000 €,131,3,3,Sin plaza parking,
Piso  en venta en Esquerra Baixa de l´Eixample Barcelona,255.000 €,51,2,1,Sin plaza parking,
Ático en a dos calles de paseo sant joan ático con terraza de obra nueva en Barcelona,930.000 €,140,3,2,Plaza parking ,
Piso  con 3 habitaciones en Trinitat Nova Barcelona,153.500 €,69,3,1,,
Piso en Dreta de l´Eixample Barcelona,745.000 €,75,3,1,Sin plaza parking,
Piso emèrita augusta - les corts en Sant Ramon - Maternitat Barcelona,595.000 €,138,3,2,Sin plaza parking,
Piso en finca modernista en Vila de Gràcia Barcelona,495.000 €,115,4,2,Sin plaza parking,
Piso  venta calle paris en Esquerra Alta de l´Eixample Barcelona,539.000 €,115,4,2,Sin plaza parking,
Piso en Sant Andreu Barcelona,255.000 €,81,3,1,Sin plaza parking,
"Piso totalmente exterior, vistas !!! en Vallcarca - Penitents Barcelona",265.000 €,72,3,1,,
Piso  señorial en zona poble nou en Vila Olímpica Barcelona,650.000 €,131,3,2,Plaza parking ,
"Piso reformado, para entrar a vivir!! en Besòs - Maresme Barcelona",199.000 €,75,3,1,Sin plaza parking,
Piso  con ubicación única en Vila Olímpica Barcelona,325.360 €,80,3,1,,
Piso en carrer ausias marc piso en semi nuevo 2hab. 1 baño. en Barcelona,320.000 €,74,2,4.324,Plaza parking ,
Piso eixample principal con terraza en Dreta de l´Eixample Barcelona,900.000 €,218,6,3,Sin plaza parking,
Piso en Sant Andreu Barcelona,450.000 €,92,4,2,Plaza parking ,
Piso  en calle de còrsega en Sagrada Família Barcelona,288.000 €,106,4,1,Sin plaza parking,
Apartamento vivienda en Sants en Sants Barcelona,120.000 €,40,2,1,,
Piso en Sants Barcelona,280.000 €,76,2,1,Sin plaza parking,
Apartamento piso exterior a calle. en Raval Barcelona,160.000 €,60,2,1,Sin plaza parking,
Piso 4 habitaciones zona paral.lel en Poble Sec Barcelona,280.500 €,52,4,1,Sin plaza parking,
Apartamento muy luminoso en Horta Barcelona,188.000 €,82,3,1,Sin plaza parking,
Ático en St. Pere - Sta. Caterina - El Born Barcelona,650.000 €,171,4,2,Sin plaza parking,
Piso vivienda soleada en Esquerra Alta de l´Eixample Barcelona,525.000 €,98,4,2,Plaza parking ,
Piso  venta calle industria en Sagrada Família Barcelona,325.000 €,73,4,1,Sin plaza parking,
Piso  cerca diagonal en Fort Pienc Barcelona,340.000 €,61,2,2,Sin plaza parking,
Piso gran oportunidad en La Marina-Port Barcelona,325.000 €,110,3,1,Sin plaza parking,
Piso en Sant Gervasi - Galvany Barcelona,480.000 €,116,2,2,Sin plaza parking,
"Apartamento piso de 93 m² en venta en turó park, en Barcelona",750.000 €,93,3,2,Plaza parking ,
Piso en Sant Gervasi - Galvany Barcelona,790.000 €,160,3,2,Sin plaza parking,
Piso pis 2 hab a prop de la platja en Diagonal Mar - La Mar Bella Barcelona,243.000 €,44,2,1,Sin plaza parking,
Piso  con 3 habitaciones en Poble Sec Barcelona,232.500 €,60,3,1,,
Piso  con 3 habitaciones en Poble Sec Barcelona,272.500 €,63,3,1,,
Piso reformado en el centro de bcn! en Raval Barcelona,225.000 €,59,2,1,Sin plaza parking,
Ático en carrer arago con terraza a estrenar en Esquerra Baixa de l´Eixample Barcelona,765.000 €,160,4,2,,
Piso buen piso señorial en Sagrada Família Barcelona,480.000 €,119,4,2,,
"Piso primero con 3 habitaciones, ascensor, calefacción, aire acondicionado y terraza en Barcelona",360.000 €,90,3,2,Sin plaza parking,
Piso exterior y muy luminoso en La Verneda - La Pau Barcelona,215.000 €,80,3,1,,
Piso 84m obra nueva en Navas Barcelona,425.000 €,84,2,2,,
Piso muy buena ubicación en Raval Barcelona,325.000 €,107,3,1,Sin plaza parking,
Piso señorial en Sant Gervasi - Galvany Barcelona,1.500.000 €,212,5,4,Plaza parking ,
Piso en Gòtic Barcelona,250.000 €,50,2,1,Sin plaza parking,
Piso ?tico en el born en St. Pere - Sta. Caterina - El Born Barcelona,465.000 €,101,4,1,Sin plaza parking,
Piso hermoso piso en congres en Congrés - Indians Barcelona,265.000 €,82,4,2,,
Piso en carrer gonzalez tablas ¡¡¡negociable!!! haga su oferta en Barcelona,718.500 €,147,4,2,Plaza parking ,
Piso ocasión inversión!! en Raval Barcelona,178.500 €,59,3,1,Sin plaza parking,
Casa  est.industrial park güell en La Salut Barcelona,1.400.000 €,166,2,2,,
Piso en Vallcarca - Penitents Barcelona,580.000 €,100,4,2,,
Piso ¡piso en sagrada familia! en Sagrada Família Barcelona,320.000 €,61,3,1,,
Piso oportunidad sagrada familia. en Sagrada Família Barcelona,320.000 €,85,3,1,,
Piso  completamente exterior en Sant Genís dels Agudells Barcelona,129.900 €,57,3,1,,
Piso posibilidad de 4 habitaciones en Font d´en Fargas Barcelona,620.000 €,167,3,2,Plaza parking ,
Piso  con 3 habitaciones en Poble Sec Barcelona,216.000 €,56,3,1,,
Piso reformado para entrar a vivir en Sant Antoni Barcelona,288.150 €,50,1,5.763,Sin plaza parking,
Piso primero con 3 habitaciones y ascensor en Baix Guinardó Barcelona,279.000 €,64,3,1,Sin plaza parking,
Piso  con 4 habitaciones y aire acondicionado en Barcelona,506.000 €,108,4,2,,
Piso  con 3 habitaciones en La Marina-Montjuïc Barcelona,278.500 €,101,3,2,,
Piso totalmente exterior en Tres Torres Barcelona,1.880.000 €,280,5,5,Plaza parking ,
Piso excelente ubicacion en Vilapicina - Torre Llobeta Barcelona,260.000 €,78,3,2,Sin plaza parking,
Piso  con 3 habitaciones en Roquetes Barcelona,179.500 €,73,3,1,,
Piso en Font de la Guatlla Barcelona,335.000 €,94,3,2,Sin plaza parking,
Casa clásica cerca de turo parc en Tres Torres Barcelona,2.500.000 €,280,3,3,Plaza parking ,
Piso  con 3 habitaciones en Trinitat Vella Barcelona,103.000 €,65,3,1,,
Piso en Dreta de l´Eixample Barcelona,370.000 €,107,3,2,Sin plaza parking,
Piso oportunidad - reformado!! en La Marina-Montjuïc Barcelona,169.000 €,70,3,1,Sin plaza parking,
Piso en carrer cortit promoción viu masadas en La Sagrera Barcelona,523.000 €,104,3,2,Plaza parking ,
"Piso  con terraza, cerca de francesc macià en Barcelona",470.000 €,121,4,2,Sin plaza parking,
Piso en carrer aribau pis en venda en Sant Gervasi - Galvany Barcelona,730.000 €,148,5,2,,
Piso acogedor piso en la nova esquerra de l?eixample en Barcelona,229.000 €,48,2,1,Sin plaza parking,
Piso alto con balcon + piscina comun en Diagonal Mar - La Mar Bella Barcelona,395.000 €,80,2,1,Plaza parking ,
Piso precioso duplex en el poble sec en La Marina-Montjuïc Barcelona,441.000 €,135,4,2,Sin plaza parking,
Piso pis c/ padilla/corsega en Sagrada Família Barcelona,330.000 €,80,3,1,,
Piso oportunidad por precio y zona en La Sagrera Barcelona,160.000 €,58,3,1,,
Piso en carrer agudes exterior amb molta llum en Ciutat Meridiana Barcelona,200.000 €,127,4,2,Sin plaza parking,
Piso obra nueva sant martí en Camp de l´Arpa Barcelona,265.000 €,57,2,1,Sin plaza parking,
Piso terraza de 141 m² en La Marina-Montjuïc Barcelona,257.000 €,220,2,1,Sin plaza parking,
Piso en Vila Olímpica Barcelona,540.000 €,111,3,2,Sin plaza parking,
Piso  de 90m² con 4 habitaciones en Congrés - Indians Barcelona,268.000 €,90,4,2,Sin plaza parking,
Piso en Esquerra Baixa de l´Eixample Barcelona,299.000 €,86,4,1,Sin plaza parking,
"Piso en rio del oro terraza, sol, piscina, vistas. en Barcelona",840.000 €,120,3,2,Plaza parking ,
Piso  provença-Sagrada Família en Sagrada Família Barcelona,310.000 €,79,3,1,Sin plaza parking,
Piso  con 2 habitaciones en Taxonera Barcelona,157.500 €,71,2,1,,
Piso vivienda finca modernista en Sant Antoni Barcelona,799.000 €,185,6,2,Sin plaza parking,
Piso en carrer sant bertran en Raval Barcelona,90.000 €,35,2,1,,
Apartamento piso en venta en el Carmel en Carmel Barcelona,135.000 €,58,3,1,Sin plaza parking,
Piso 3 dormitorios dobles en Roquetes Barcelona,184.000 €,65,3,1,Sin plaza parking,
Piso  luminoso y amplio en Sagrada Família Barcelona,325.000 €,91,4,2,Sin plaza parking,
Piso para entrar a vivir!!! en Sants Barcelona,229.000 €,61,3,1,Sin plaza parking,
Piso  de obra nueva en El Clot en El Clot Barcelona,423.700 €,91,3,2,Plaza parking ,
Piso para entrar a vivir - luminoso - en Trinitat Nova Barcelona,110.000 €,50,2,1,Sin plaza parking,
"Piso  alto, esquinero en Sant Andreu Barcelona",475.000 €,140,5,2,Sin plaza parking,
Piso en Esquerra Baixa de l´Eixample Barcelona,330.000 €,83,3,2,Plaza parking ,
Piso  de 4 habitaciones en Sant Ramon - Maternitat Barcelona,298.500 €,77,4,2,Sin plaza parking,
Piso paseo de gracia / plaza cataluña en Dreta de l´Eixample Barcelona,1.900.000 €,150,3,3,Sin plaza parking,
Piso  en venta zona comunitaria en Putget - Farró Barcelona,990.000 €,140,5,2,Plaza parking ,
Piso en Raval Barcelona,185.000 €,42,1,1,Sin plaza parking,
Ático geinbar vende.- atico reformado en finca totalmente rehabilitada en Barcelona,249.000 €,45,1,1,Sin plaza parking,
Piso tranquilo y luminoso en Esquerra Alta de l´Eixample Barcelona,330.000 €,85,3,1,Sin plaza parking,
Piso en carrer sant antoni maria claret en Guinardó Barcelona,250.000 €,63,2,1,,
Ático en pedralbes atico en pebralbes en Sarrià Barcelona,430.000 €,73,3,1,,
Piso en carrer cortit promoción viu masadas en La Sagrera Barcelona,462.000 €,105,3,2,Plaza parking ,
Piso en carrer putget listo para entrar a vivir en Barcelona,385.000 €,74,3,1,Sin plaza parking,
Apartamento  amueblado zona palau en St. Pere - Sta. Caterina - El Born Barcelona,209.000 €,38,2,1,Sin plaza parking,
Piso en Font d´en Fargas Barcelona,620.000 €,138,3,2,Plaza parking ,
Ático 144m en carrer paris obra nueva en Esquerra Alta de l´Eixample Barcelona,1.980.000 €,144,3,2,,
Piso en carrer londres negociable¡¡ haga su oferta en Barcelona,440.000 €,110,4,2,Sin plaza parking,
Piso en Poblenou Barcelona,485.000 €,147,3,2,Sin plaza parking,
Piso en Gòtic Barcelona,169.000 €,50,2,1,Sin plaza parking,
Piso  en venta Les Corts en Les Corts Barcelona,315.000 €,76,3,1,Sin plaza parking,
Piso  en venta en Besòs - Maresme Barcelona,158.500 €,66,3,1,Sin plaza parking,
Piso luminoso y céntrico en Esquerra Baixa de l´Eixample Barcelona,460.000 €,116,3,2,Sin plaza parking,
Piso en La Marina-Montjuïc Barcelona,290.000 €,115,4,2,Plaza parking ,
Piso exquisito piso reformado en Esquerra Baixa de l´Eixample Barcelona,635.000 €,105,2,2,Sin plaza parking,
Piso oportunidad en la Barceloneta en Barceloneta Barcelona,160.000 €,33,2,1,Sin plaza parking,
Piso  con 2 habitaciones y calefacción en Carmel Barcelona,152.000 €,56,2,1,,
Piso  reformado en capitan arenas en Pedralbes Barcelona,450.000 €,63,2,1,Sin plaza parking,
Apartamento perfecto para entrar a vivir en Raval Barcelona,349.000 €,93,2,1,Plaza parking ,
Piso  con 3 habitaciones con asce en Esquerra Alta de l´Eixample Barcelona,340.000 €,91,3,2,,
Piso luminoso y céntrico en Esquerra Baixa de l´Eixample Barcelona,460.000 €,116,3,2,Sin plaza parking,
Ático 105m en carrer paris obra nueva en Esquerra Alta de l´Eixample Barcelona,1.269.000 €,105,3,2,,
Planta baja piso de obra nueva en El Clot en El Clot Barcelona,435.100 €,95,3,2,Plaza parking ,
Planta baja en carrer cortit promoción viu masadas en Barcelona,455.000 €,92,2,2,Plaza parking ,
Apartamento en carrer enroig en Raval Barcelona,160.000 €,52,3,1,,
Piso espectacular piso carrer paris en Esquerra Alta de l´Eixample Barcelona,449.000 €,90,4,2,Sin plaza parking,
Apartamento  de 2 dormitorios recientemente reno... en Barcelona,330.000 €,67,2,1,,
Apartamento  contemporáneo de 1 dormitorio con b... en Barcelona,228.000 €,45,1,1,,
"Piso espectacular piso, 4 hab., 3 b. en St. Pere - Sta. Caterina - El Born Barcelona",840.000 €,146,4,3,Sin plaza parking,
Piso bruc costas casa punxes en Dreta de l´Eixample Barcelona,485.000 €,117,4,2,Plaza parking ,
Apartamento amplio apartamento de 1 dormitorio con ascensor... en Barcelona,430.000 €,52,1,1,,
Dúplex precioso y tranquilo de lujo en Dreta de l´Eixample Barcelona,795.000 €,100,2,2,Sin plaza parking,
"Piso 2ª linea de mar, amplio piso en finca del año 2000, parking en Barcelona",435.000 €,90,3,2,Plaza parking ,
Piso  con terraza en les corts en Sant Ramon - Maternitat Barcelona,298.500 €,77,4,2,,
Piso  reformado a estrenar en Poblenou Barcelona,275.000 €,50,2,1,,
Ático en Gòtic Barcelona,265.000 €,72,3,2,,
Piso amplio piso en verdún 66 m2 en Verdun Barcelona,135.000 €,66,3,1,Sin plaza parking,
Apartamento en passeig garcia faria (de) piso en primera línea de mar en Barcelona,2.200.000 €,169,4,2,Plaza parking ,
"Piso alto, tranquilo, bien situado en Esquerra Alta de l´Eixample Barcelona",275.000 €,55,3,1,Sin plaza parking,
Piso  ideal para parejas en Trinitat Nova Barcelona,132.000 €,67,2,1,,
Piso en St. Pere - Sta. Caterina - El Born Barcelona,450.000 €,145,3,2,Sin plaza parking,
Piso en carrer blanqueria en St. Pere - Sta. Caterina - El Born Barcelona,445.000 €,136,3,2,Sin plaza parking,
Piso en La Marina-Montjuïc Barcelona,290.000 €,115,4,2,Plaza parking ,
Piso nuevo. entrega inmediata en Les Corts Barcelona,530.500 €,71,2,1,Sin plaza parking,
Piso nuevo. entrega inmediata en Les Corts Barcelona,550.000 €,76,2,1,Sin plaza parking,
Piso loft atractivo y luminoso en Les Corts Barcelona,530.500 €,71,2,1,Sin plaza parking,
Piso a estrenar de 102m2 en Les Corts Barcelona,649.000 €,102,2,2,Sin plaza parking,
Piso en Poble Sec Barcelona,200.000 €,66,3,2,Sin plaza parking,
Piso en Font d´en Fargas Barcelona,290.000 €,70,3,1,Sin plaza parking,
Piso en El Coll Barcelona,250.000 €,70,3,1,Sin plaza parking,
Piso en Fort Pienc Barcelona,297.000 €,83,3,1,Sin plaza parking,
Piso gran oportunidad en el eixample! en Esquerra Alta de l´Eixample Barcelona,315.000 €,78,3,1,Sin plaza parking,
Dúplex piso en venta en La Marina-Montjuïc Barcelona,420.000 €,118,4,3,Sin plaza parking,
Piso espectacular a estrenar en Les Corts Barcelona,670.000 €,100,2,2,Sin plaza parking,
Planta baja  con aire acondicionado en Barcelona,145.000 €,33,1,1,Sin plaza parking,
Piso en Barceloneta Barcelona,321.253 €,70,3,1,Sin plaza parking,
Apartamento  con 3 habitaciones en Poble Sec Barcelona,191.716 €,109,3,1,,
Piso  en venta con terraza en Navas Barcelona,299.000 €,70,3,2,Sin plaza parking,
Ático en Diagonal Mar - La Mar Bella Barcelona,930.000 €,140,3,2,Plaza parking ,
Piso en La Salut Barcelona,195.000 €,70,3,1,Sin plaza parking,
Apartamento piso reformado en El Clot Barcelona,244.000 €,90,2,1,Sin plaza parking,
Piso  en ronda sant antoni en Raval Barcelona,197.500 €,49,1,1,Sin plaza parking,
Piso  venta calle blai en Poble Sec Barcelona,360.000 €,70,2,1,,
Ático en carrer cortit promoción viu masadas en La Sagrera Barcelona,588.000 €,105,3,2,Plaza parking ,
Piso clásico del eixample en Dreta de l´Eixample Barcelona,1.400.000 €,181,5,2,Sin plaza parking,
Piso en Les Corts Barcelona,360.000 €,99,4,2,Sin plaza parking,
Planta baja piso ideal parejas o inversores! en Sant Gervasi - Bonanova Barcelona,225.000 €,70,3,1,Sin plaza parking,
Piso  ideal para parejas en Guinardó Barcelona,334.000 €,102,1,2,,
"Piso en cerca de avenida paral·lel muy luminoso, reformado en Barcelona",280.000 €,48,1,1,Sin plaza parking,
Piso en Poblenou Barcelona,239.000 €,57,3,1,Sin plaza parking,
Casa junto al pie del funicular en Sarrià Barcelona,1.150.000 €,1.354,3,2,,
Casa pareada en carrer gaziel casa en complejo torre vilana en Barcelona,2.425.000 €,584,5,4,Plaza parking ,
Piso en Sarrià Barcelona,795.000 €,136,4,3,Plaza parking ,
Piso en riera blanca oportunidad riera blanca en Badal Barcelona,195.000 €,92,3,1,,
Piso  villar 70m2+15m2 tza en Guinardó Barcelona,257.500 €,70,1,3.679,,
Piso oportunidad reformado en la pau en Besòs - Maresme Barcelona,185.000 €,65,3,1,Sin plaza parking,
Piso oportunidad vilapicina en Vilapicina - Torre Llobeta Barcelona,299.500 €,100,3,1,Sin plaza parking,
Piso planta baja / ite favorable en Roquetes Barcelona,119.900 €,63,3,1,Sin plaza parking,
Loft piso reformado en gracia en Vila de Gràcia Barcelona,250.000 €,44,1,1,Sin plaza parking,
Piso nuevo-finca rehabilitada-calidad en Gòtic Barcelona,590.000 €,72,2,2,Sin plaza parking,
Piso oportunidad en Porta Barcelona,190.000 €,87,5,1,Sin plaza parking,
Piso ideal familias! en Badal Barcelona,229.000 €,76,3,1,Sin plaza parking,
Ático excelente oportunidad en Sagrada Família Barcelona,360.000 €,70,3,1,,
Piso en Sarrià Barcelona,890.000 €,158,4,3,Plaza parking ,
Piso en carrer aiguablava en Trinitat Nova Barcelona,95.000 €,50,2,1,Sin plaza parking,
Piso en La Verneda - La Pau Barcelona,247.000 €,88,3,1,Sin plaza parking,
Piso reformado - balcón - luminoso en Roquetes Barcelona,156.000 €,66,2,1,Sin plaza parking,
Piso excelente ubicación en La Verneda - La Pau Barcelona,235.000 €,95,4,1,Sin plaza parking,
Piso antes 4 habitaciones en La Verneda - La Pau Barcelona,205.000 €,86,3,1,,
Piso  increible ubicación!!! en Font d´en Fargas Barcelona,620.000 €,197,3,1,Plaza parking ,
Ático rosselló - aribau en Esquerra Alta de l´Eixample Barcelona,680.000 €,92,2,1,Sin plaza parking,
Piso en carrer annibal oportunidad!! parking incluido en Barcelona,334.000 €,87,3,2,Plaza parking ,
Piso oportunidad!! techos altos en Poble Sec Barcelona,199.000 €,110,3,1,Sin plaza parking,
Piso en La Sagrera Barcelona,391.000 €,99,3,2,Sin plaza parking,
Piso  en venta en Raval Barcelona,154.000 €,31,2,1,Sin plaza parking,
Casa en Empuriabrava,,,,,,
Piso vivienda en Les Corts en Les Corts Barcelona,435.000 €,100,4,3,Sin plaza parking,
Piso obra nueva 2019!!!! en Guinardó Barcelona,407.500 €,80,3,2,Plaza parking ,
Piso  venta calle nàpols en Fort Pienc Barcelona,255.000 €,70,3,1,Sin plaza parking,
Piso carrer calabria en Esquerra Alta de l´Eixample Barcelona,290.000 €,75,2,1,Sin plaza parking,
Piso  con 3 habitaciones en Camp de l´Arpa Barcelona,156.500 €,47,3,1,,
Piso en Raval Barcelona,129.000 €,41,2,1,Sin plaza parking,
"Piso buen estado, en zona tranquila en La Marina-Montjuïc Barcelona",154.000 €,65,3,1,Sin plaza parking,
Piso  nuevo con terraza sarria. en Sarrià Barcelona,725.000 €,88,3,2,,
Piso en buena zona en Sagrada Família Barcelona,245.000 €,63,3,1,Sin plaza parking,
Piso en Esquerra Baixa de l´Eixample Barcelona,330.000 €,83,3,2,Plaza parking ,
Piso oportunidad en plaza palmera en Sant Martí Barcelona,350.000 €,101,3,2,Plaza parking ,
Ático en Vila Olímpica Barcelona,625.000 €,109,3,2,Sin plaza parking,
Loft en carrer pere iv en Glòries El Parc Barcelona,95.000 €,50,1,1.900,Plaza parking ,
Dúplex en Poblenou Barcelona,400.000 €,130,2,1,Sin plaza parking,
Piso  en venta en ramón albó en Vilapicina - Torre Llobeta Barcelona,207.000 €,65,3,1,,
Piso 101m en carrer besalu obra nueva en Camp de l´Arpa Barcelona,429.000 €,101,3,2,,
Estudio  reformado y amueblado en Sagrada Família Barcelona,160.000 €,40,1,4.000,Sin plaza parking,
Piso precioso y listo para vivir en Les Corts Barcelona,489.000 €,119,4,2,Sin plaza parking,
