name,net,window_end,window_start,mission,pad,location,orbit,status.name,mission_type,description
Long March 5  | Chang'e 6,2023-01-01 00:00:00+00:00,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,Chang'e 6,Wenchang,"Wenchang Satellite Launch Center, People's Republic of China",LO,TBD,Planetary Science,Chang'e 6/CE-6 is scheduled to launch around 2020. It will land in the the polar region of the Moon and get a sample for return to Earth
Epsilon  | JV-LOTUSat-1,2023-01-01 00:00:00+00:00,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,,Mu Center,"Uchinoura Space Center, Japan",,TBD,,no information
Angara A5/Briz-M | Unknown,2023-10-01 00:00:00+00:00,2023-10-01T00:00:00Z,2023-10-01T00:00:00Z,,Cosmodrome Site 1A,"Vostochny Cosmodrome, Siberia, Russian Federation",,TBD,,no information
Vega-C | Ital-GovSatCom,2024-01-01 00:00:00+00:00,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,,no information
SLS Block 1 | Artemis-3,2024-01-01 00:00:00+00:00,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,,Launch Complex 39B,"Kennedy Space Center, FL, USA",,TBD,,no information
Long March 5  | Chang'e 7,2024-01-01 00:00:00+00:00,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,,Wenchang,"Wenchang Satellite Launch Center, People's Republic of China",,TBD,,no information
Delta IV Heavy | NROL-70,2024-01-01 00:00:00+00:00,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,,Space Launch Complex 37B,"Cape Canaveral, FL, USA",,TBD,,no information
Soyuz 2.1b/Fregat-M | Luna 26,2024-11-13 00:00:00+00:00,2024-11-13T00:00:00Z,2024-11-13T00:00:00Z,,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
Soyuz 2.1b/Fregat-M | Luna 27,2025-01-01 00:00:00+00:00,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
SLS Block 1B | Artemis-4,2025-01-01 00:00:00+00:00,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,,Launch Complex 39B,"Kennedy Space Center, FL, USA",,TBD,,no information
SLS Block 1 | Europa Clipper,2025-01-01 00:00:00+00:00,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,Europa Clipper,Launch Complex 39B,"Kennedy Space Center, FL, USA",Helio-N/A,TBD,Planetary Science,"Europa Clipper is the first dedicated mission to study Jupiter's moon Europa. Mission is developed by NASA and comprises of an orbiter spacecraft, which, while in orbit around Jupiter, will perform numerous flybys over Europa. Europa Clipper payload suit included high-resolution cameras and spectrometers for imaging Europa's surface and thin atmosphere, an ice-penetrating radar to search for subsurface water, and a magnetometer and gravity measurements to measure the moon's magnetic field and unlock clues about its ocean and deep interior."
SLS Block 1B | Artemis-5,2026-01-01 00:00:00+00:00,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,,Launch Complex 39B,"Kennedy Space Center, FL, USA",,TBD,,no information
SLS Block 1B | Artemis-6,2027-01-01 00:00:00+00:00,2027-01-01T00:00:00Z,2027-01-01T00:00:00Z,,Launch Complex 39B,"Kennedy Space Center, FL, USA",,TBD,,no information
SLS Block 1B | Artemis-7,2028-01-01 00:00:00+00:00,2028-01-01T00:00:00Z,2028-01-01T00:00:00Z,,Launch Complex 39B,"Kennedy Space Center, FL, USA",,TBD,,no information
Ariane 62 | ARIEL & Comet Interceptor,2028-06-01 00:00:00+00:00,2028-06-01T00:00:00Z,2028-06-01T00:00:00Z,ARIEL & Comet Interceptor,Ariane Launch Area 4,"Kourou, French Guiana",L2,TBD,Planetary Science,"Atmospheric Remoteâ€sensing Infrared Exoplanet Largeâ€survey mission (ARIEL) is an ESA telescope. During a 4-year mission, ARIEL will observe 1000 planets orbiting distant stars and make the first large-scale survey of the chemistry of exoplanet atmospheres. For a select number of exoplanets, ARIEL will also perform a deep survey of their cloud systems and study seasonal and daily atmospheric variations. ARIEL shares the ride with another ESA mission, Comet Interceptor. It consists of three spacecraft which will be positioned at the Sun-Earth Lagrange point L2, where they will wait for a long-period comet or an interstellar object to come by. Once the desired target appears, the spacecraft will separate and perform a flyby of the target, compiling a detailed 3D profile of a comet."
