	CODI_VIA	TIPUS_VIA	NOM_OFICIAL	NOM_CURT	DESCRIPCION	FECHA_APROBACION	NOMBRES_ANTERIORES	DISTRICTOS
2609	269108	Pl	Plaça del Portal de la Pau	Pl Portal Pau	Como la calle del mismo nombre, en referencia a la masía denominada Can Pujolet.	 ( )		HORTA-GUINARDÓ (07)
2610	269200	C	Carrer del Portal de Santa Madrona	Portal Sta Madrona	La Virgen María en el misterio de su Inmaculada Concepción. Calle de Horta.		Purísima	HORTA-GUINARDÓ (07)
2611	269301	C	Carrer de la Portaferrissa	Portaferrissa	La Virgen María en el misterio de su Inmaculada Concepción. Calle del Poble Sec.	19/11/1929 ( )	Purísima Concepción; Josep Duran, 16/10/1937; Purísima	SANTS-MONTJUÏC (03)
2612	269403	C	Carrer de Puerto Príncipe	Puerto Príncipe	Conduce a la colina denominada del Putget.		Putxet; Putchet, abans de 1852	SARRIÀ-SANT GERVASI (05)
2613	269607	Pl	Plaça del Nen de la Rutlla	Pl N de la Rutlla	Nombre del castillo, en el municipio de Prats de Lluçanès, Osona. Calle que pertenece al grupo de casas Ramon Albó, donde los viales están dedicados a lugares y pueblos de Cataluña.	29/05/1945 ( )	Núm. 28	NOU BARRIS (08)
2614	269709	C	Carrer de Puig i Cadafalch	Puig i Cadafalch	Nombre de la sierra en cuya vertiente se asienta la ciudad de Berga y del santuario al que ha dado nombre.	25/09/1931 ( )	Agregación; Taga (Ajuntament de Sarrià)	SARRIÀ-SANT GERVASI (05)
2615	269800	C	Carrer del Puig Castellar	Puig Castellar	Gonzalo Jiménez de Quesada (Córdoba 1499 - Mariquita, Nueva Granada 1579). Conquistador. Mariscal y concejal de Bogotá y <i>adelantado</i> de Nueva Granada. De familia noble, en 1535 marchó a las Indias Occidentales como auditor general. Exploró el río Magdalena (1536-1537). En 1538 inició la colonización del nuevo reino de Granada con la fundación de las ciudades de Santa Fe de Bogotá, Vélez y Tunja.	31/10/1955 ( )	Pje. de los Cirerers	NOU BARRIS (08)
2616	269902	Av	Avinguda de Puig de Jorba	Av Puig de Jorba	Debe su nombre al quetzal, el pájaro sagrado de América Central, que figura en el escudo y bandera de la República de Guatemala.	18/08/1978 ( )		SANTS-MONTJUÏC (03)
2617	270005	C	Carrer de Puig i Valls	Puig i Valls	Francisco de Quevedo y Villegas (Madrid 1580 - Villanueva de los Infantes 1645). Poeta y prosista castellano. Una de las máximas figuras del barroco.		Pje. de Cervantes	GRÀCIA (06)
2618	270107	C	Carrer de Puigcerdà	Puigcerdà	Debe su nombre a la química. Calle paralela a la de la Física y que desemboca en la de la Mineria, en la parte norte del barrio de la Zona Franca.	24/02/1965 ( )	Estadística	SANTS-MONTJUÏC (03)
2619	270209	C	Carrer de Puiggarí	Puiggarí	"Apellido de antiguo linaje barcelonés. Entre sus personajes notables cabe citar a un Quintana que en el año 1391, reinando Juan I, comandaba una galera en una expedición a Cerdeña; a Miquel Quintana, abogado de la ciudad en 1534; a Joan Quintana, ""egregio y magnífico doctor en quiscum derecho"", hacia mediados de siglo XVI; a micer Miquel Quintana, hijo del anterior, jurado del Consejo en 1563; a micer Quintana, regente de Corte del Consejo de Aragón en 1601, y, a lo largo del siglo XVII, a muchos otros Quintana que figuran en la judicatura catalana."		Viladevalls	CIUTAT VELLA (01)
2620	270300	C	Carrer de Puiggener	Puiggener	Pere Quintana i Coronas (1864 - 1948). Carpintero. Compró unos terrenos en este lugar donde se abrió el pasaje que adoptó su nombre, en 1922.			NOU BARRIS (08)
2621	270402	Ptge	Passatge del Puigmadrona	Ptge Puigmadrona	Debe su nombre a Quito, ciudad de Ecuador, capital del estado. Calle situada en la zona industrial del Bon Pastor, donde los viales están, en su mayoría, dedicados a ciudades de América Latina.	25/05/1966 ( )		SANT ANDREU (09)
2622	270606	C	Carrer de Puigmartí	Puigmartí	Ramon Rabassa i Pla, natural de Malgrat. Propietario del terreno donde se abrió la calle. Con Miquel Masens i Soler y Manuel Torrente Flores adquirieron un lote de tres piezas de tierra, procedentes de la heredad Alegre de Dalt.		Francesc Martí	GRÀCIA (06)
2623	270708	C	Carrer de Puig-reig	Puig-reig	El rabino Isaac Ben Reuben, Izchaq ha-Barkeloní (Barcelona 1073 - 1113). Poeta judío de gran renombre. Comentarista del <i>Talmud</i> en la parte titulada <i>Belhuboth</i>. Tradujo libros del árabe al hebreo. Autor de diversas obras impresas en Amsterdam. Como todos los judíos barceloneses, debió recibir sepultura en el cementerio judío de Montjuïc. Por ello, se ha puesto su nombre a una de las calles de la parte baja de la montaña.	23/03/1911 ( )	Estrella	SANTS-MONTJUÏC (03)
2624	270800	C	Carrer de Puig i Xoriguer	Puig i Xoriguer	Monasterio franciscano situado en Palos de la Frontera, Huelva. Colón se hospedó en él en 1485. Fue bien acogido por los frailes de la orden que le apoyaron en su proyecto.	 ( )		LES CORTS (04)
2625	270901	C	Carrer de Pujades	Pujades	Agustí Radas. Militar catalán del siglo XVII. Capitán de las fuerzas que, durante el asedio de Barcelona del año 1651, defendieron el convento y el santuario de Santa Madrona, posición fortificada de la montaña de Montjuïc.			SANTS-MONTJUÏC (03)
2626	271100	Pg	Passeig de Pujades	Pg Pujades	Debe su nombre al radio, el elemento químico de número atómico 88 y símbolo Ra. Calle del polígono industrial de la Zona Franca, donde los viales están dedicados, en su mayoría, a elementos y herramientas de uso en la industria.	24/02/1965 ( )	Radio	SANTS-MONTJUÏC (03)
2627	271201	C	Carrer de Pujalt	Pujalt	Rafael Batlle i de Miquelerena (1889 - 1954). Médico. Último alcalde de la villa de Sant Vicenç de Sarrià (1918-1921) y concejal del Ayuntamiento de Barcelona (1922).	09/10/1954 ( )		SARRIÀ-SANT GERVASI (05)
2628	271303	C	Carrer de Pujol	Pujol	Rafael Capdevila de Barceló (Barcelona 1883 - 1951). Concejal durante la dictadura de Primo de Rivera. Jefe del somatén del Distrito X. Medalla del mérito militar. Vivió en la misma calle.	23/09/1953 ( )	Pje. de la Miel	SANT MARTÍ (10)
2629	271507	C	Carrer de Can Pujolet	Can Pujolet	Josep Francesc Ràfols i Fontanals (Vilanova i la Geltrú, Garraf 1889 - Barcelona 1965). Tratadista de arte, arquitecto y pintor.	29/10/1981 ( )	Duquesa de Orleans	SARRIÀ-SANT GERVASI (05)
2630	271609	Ptge	Passatge d'en Pujolet	Ptge Pujolet	Menestral que hace o vende baldosas. Estaba establecido antiguamente en la calle.	 ( )		HORTA-GUINARDÓ (07)
2631	271700	C	Carrer de la Puríssima	Puríssima	Empezó en esta calle, en el siglo XVI, la industria de la preparación de ramos de flores. Las <i>ramelleres</i> o floristas que se establecieron allí, el 18 de mayo de 1601 fueron en procesión muy bien ataviadas para orar a San Ramón de Peñafort, que acababa de ser canonizado.		Ramalleras; Xuclà	CIUTAT VELLA (01)
2632	271802	C	Carrer de la Puríssima Concepció	Psima Concepció	Corresponde al antiguo topónimo <i>Monte de Ursa</i>, que se encuentra documentado en el año 986.	25/02/1983 ( )	Ramiro de Ledesma	LES CORTS (04)
2633	271904	C	Carrer del Putxet	Putxet	Ramiro de Maeztu Witney (Vitoria 1874 - Aravaca, Madrid 1936). Escritor, ensayista y diplomático. Miembro de la Real Academia Española (1934).	11/06/1940 ( )	Roberto Robert; Mañé y Flaquer	GRÀCIA (06) HORTA-GUINARDÓ (07)
2634	272000	C	Carrer de Quer	Quer	"Domènec Ramis i Pañella (1805 - ?). Fabricante de tejidos. Se convirtió en propietario por el otorgamiento, en 1849, a su favor, de la propiedad situada en el lugar denominado ""de los capuchinos viejos"". Estaba casado con Lutgarda Agustí i Vilena. Instaló una fábrica en la calle, una de las primeras de Gràcia. En el nomenclátor de 1980 la encontramos dedicada a Joan Ramis i Ramis (Maó, Menorca 1746 - 1819), literato, historiador y abogado."			GRÀCIA (06)
2635	272204	C	Carrer de Queralt	Queralt	Ramon Albó i Martí (Barcelona 1872 - 1955). Sociólogo y abogado. Propietario de fincas del lugar.	 ( )		NOU BARRIS (08) SANT ANDREU (09)
2636	272408	C	Carrer de Quesada	Quesada	Por el mismo motivo que la calle.	20/12/1979 ( )	Pl. de Ramón Amadeu	CIUTAT VELLA (01)
2637	272452	C	Carrer del Quetzal	Quetzal	Ramon Amadeu i Grau (Barcelona 1745 - 1821). Escultor y pesebrista de estilo barroco con orientaciones neoclásicas. Miembro del Gremio de Escultores de Barcelona (1770) y de la Academia de San Fernando. Residió un tiempo en Olot.	28/11/1980 ( )		CIUTAT VELLA (01)
2638	272500	C	Carrer de Quevedo	Quevedo	Ramon Batlle i Ribas (Barcelona 1837 - 1906). Técnico textil. Inventor de la montura catalana. Fundó la primera escuela para la enseñanza del tejido mecánico.	19/05/1914 ( )	Aristóteles; San Pablo, abans de 1900	SANT ANDREU (09)
2639	272601	C	Carrer de la Química	Química	"Santiago Ramón y Cajal (Petilla de Aragón 1852 - Madrid 1934). Médico histólogo. Catedrático de Histología de Madrid. Premio Nobel de Medicina de 1906. En sus artículos de la prensa utilizó el pseudónimo ""Doctor Bacteria""."	 ( )	Doctor Ramón y Cajal, 05/09/1907; Zurbano, 1869-1907; Caballeros, abans de 1869; Príncipe; Conde de Reus	GRÀCIA (06)
2640	272703	C	Carrer d'en Quintana	Quintana	Raimon Casellas i Dou (Barcelona 1855 - Sant Joan de les Abadesses, Ripollès 1910). Periodista y crítico de arte. Historiador de la pintura catalana.	18/04/1989 ( )		HORTA-GUINARDÓ (07)
2641	272805	Ptge	Passatge de Quintana	Ptge Quintana	Carpintero que practicaba en la Ribera de la Barceloneta y fue uno de los que tocaron a somatén. Mártir de la Ciudadela en la Guerra de la Independencia.	31/05/1927 ( )	San Francisco de Paula (un tram)	CIUTAT VELLA (01)
2642	273003	C	Carrer de Quito	Quito	(Barcelona 1874 - 1950). Bibliófilo y erudito. Presidente del Instituto Catalán de las Artes del Libro. Miembro de la Academia de Buenas Letras y de la de Bellas Artes de San Jorge, entre otros.	30/12/1953 ( )		SARRIÀ-SANT GERVASI (05)
2643	273207	C	Carrer de Rabassa	Rabassa	Ramon Josep Narcís Riera i Moliner (Barcelona 1875 - 1937). Litógrafo y dibujante. Se relaciona con el concejal de Sant Andreu, del año 1911, que urbanizó definitivamente la calle Malats, realizó mejoras en los mercados y sustituyó una fuente farola en la plaza de Orfila.	27/12/1965 ( )		SANT ANDREU (09)
2644	273309	C	Carrer del Rabí Rubèn	Rabí Rubèn	Noble catalán. Jefe del Tercio de Barcelona defensor de Salses del ataque francés (1503).	07/07/1942 ( )	Ramon Chies; Torelló; Merced	HORTA-GUINARDÓ (07)
2645	273353	C	Carrer de la Rábida	Rábida	Francesca Marquès i López (Tarazona, Aragón 1888 - Barcelona 1962). Tonadillera. Empezó su carrera en 1907 con el nombre artístico de Raquel Meller. Fue primera figura en el teatro Arnau de Barcelona en 1911. Debutó en el Olympia de París en 1919 y actuó en Londres, Berlín, Nueva York y Buenos Aires. Charles Chaplin ilustró musicalmente su film <i>City Lights</i> con <i>La violetera</i> en su honor. Actuó en Barcelona hasta 1943.	12/04/1995 ( )		CIUTAT VELLA (01)
2646	273400	C	Carrer de Radas	Radas	La calle se abrió en los terrenos que fueron de Magí Modolell del Puig i Negrevernís. Su hijo Vicenç Modolell i Vallmajor, en su testamento de fecha 28 de diciembre de 1861, hace mención de su nieta Gaietana Raset i Vallmajor de Batllori.	05/01/1876 ( )		SARRIÀ-SANT GERVASI (05)
2647	273502	C	Carrer del Radi	Radi	Pliego anticlinal de las sierras prepirenaicas.	28/04/1965 ( )		NOU BARRIS (08)
2648	273706	C	Carrer de Rafael Batlle	Rafael Batlle	Jacinto de Ratés i de Babot (Malgrat de Mar, Maresme 1799 - Barcelona 1879). Doctor en Medicina. Terrateniente de Sant Martí de Provençals. En el año 1871 encontramos documentados hasta ocho terrenos de tierra en aquel pueblo, dos de los cuales estaban situados a ambos lados de la propiedad donde se abrió el pasaje, sin que conste que el terreno del pasaje fuera suyo. Estaba casado con Josepa Jordana en primeras nupcias y con Teresa Vinyoles en segundas.			SANT MARTÍ (10)
2649	273808	C	Carrer de Rafael Capdevila	Rafael Capdevila	Patronímico catalán muy antiguo, de procedencia visigótica. El nombre data, al menos, del siglo XIV. En unos documentos del año 1335, Arnau Raurich cede a Romeu Çacosta un censo.		Raurich; Na Bardonera	CIUTAT VELLA (01)
2650	273852	C	Carrer de Ràfols	Ràfols	Apellido muy extendido en Sant Gervasi, municipio donde está la calle. Pau Rabella y Francesc Rabella, propietarios en Sant Gervasi en el año 1896, sin que puedan relacionarse directamente con la dedicación de la calle. Por etimología, <i>ravella</i>, <i>revella</i> y <i>rabella</i> es la forma femenina de <i>revell</i> o <i>rabell</i>. Parece provenir del latín <i>rebellis</i> (rebelde).	05/01/1876 ( )		SARRIÀ-SANT GERVASI (05)
2651	273900	C	Carrer del Rajoler	Rajoler	Construida en el lugar que ocupaba el antiguo convento de los Capuchinos, construido en 1718 y derribado en 1848. Se llamó así porque Isabel II colocó la primera piedra de lo que tenía que ser el monumento a Fernando el Católico (no erigido).	07/03/1939 ( )	Real; Francisco Maciá, 26/08/1931; Real, abans de 1850	CIUTAT VELLA (01)
2652	274006	C	Carrer de les Ramelleres	Ramelleres	Conjunto de calles con nombres de animales relacionados con la rambla del Caçador, a la que desembocan.	25/06/1958 ( )		NOU BARRIS (08)
2653	274108	C	Carrer de Puig d'Óssa	Puig d'Óssa	(? - Gérticos 672). Rey visigodo (649 - 672), hijo de Khindasvinto. Reunió a los concilios VII, IX y X de Toledo y publicó el <i>Liber iudiciorum</i>.	19/11/1929 ( )	Recesvinto; Arquímedes (un tram); San José, abans de 1900	SANT ANDREU (09)
2654	274200	C	Carrer de Ramiro de Maeztu	Ramiro de Maeztu	Francesc d'Assís Bruguera i Lladó (Barcelona 1802 - 1870). Sacerdote. Rector de la parroquia de San Miguel de La Barceloneta. Murió de la fiebre amarilla por haber auxiliado a los feligreses del barrio.	05/09/1907 ( )	Guàrdies Salvat i Manzano; San Andrés, abans de 1900	CIUTAT VELLA (01)
2655	274301	C	Carrer de Ramis	Ramis	Francesc Vicenç Garcia i Torres (Tortosa, Baix Ebre 1582 - Vallfogona de Riucorb, Conca de Barberà 1623). Popular poeta que firmaba sus obras con el nombre de Rector de Vallfogona.	29/03/1922 ( )	Ixart; San Martín	SANT MARTÍ (10)
2656	274505	C	Carrer de Ramon Albó	Ramon Albó	"Por el nombre del sector, proveniente del masovero de Can Planas, que ayudaba en la parroquia de Vallvidrera, y por ello denominado ""el rectoret""."	20/12/1979 ( )		SARRIÀ-SANT GERVASI (05)
2657	274607	Plta	Placeta del Pi	Plta Pi	Por estar en la calle la casa rectoral de San Juan de Horta.	 ( )	La Iglesia	HORTA-GUINARDÓ (07)
2658	274651	Plta	Placeta de Ramon Amadeu	Plta Ramon Amadeu	En los siglos XII y XIII la calle era un curso de agua por donde desaguaban las aguas sobrantes del Rec Comtal, que daba movimiento a los molinos antes de perderse en el mar.		Rech; Boca de Rech; Molins de Mar	CIUTAT VELLA (01)
2659	274709	C	Carrer de Ramon Batlle	Ramon Batlle	Pasaban por aquí las aguas del Rec Comtal, acequia romana restaurada por el conde Mir a finales del siglo X.		Rech Comtal; Tius	CIUTAT VELLA (01)
2660	274800	C	Carrer de Ramón y Cajal	Ramón y Cajal	Jesucristo. Tras la muerte de Jesús se cumple la redención <i>condigna</i> pagada a Dios por la humanidad representada por el Dios-hombre Jesucristo, como precio para la salvación de los hombres.		Redentor; Virgen de Montserrat; Sin nombre	HORTA-GUINARDÓ (07)
2661	274902	Pl	Plaça de Raimon Casellas	Pl Raimon Casellas	"Por el Camp d'en Regàs, finca también denominada ""Camp de la Figuera"". Calle abierta en el año 1868. El apellido Regàs es muy extendido en Sant Gervasi, sin que pueda asociarse a un personaje concreto en dicha calle."	27/02/1867 ( )		SARRIÀ-SANT GERVASI (05)
2662	275100	C	Carrer de Ramon Mas	Ramon Mas	Jaime Álvarez de Mendieta y García de la Cuesta López y Escobedo (Valladolid 1759 - Barcelona 1816 ?). Oyente, decano en funciones de regente de la Audiencia de Barcelona, que con fecha 9 de abril de 1809 se negó a prestar juramento al gobierno impuesto por las fuerzas napoleónicas. <i>Regente</i> es el nombre que tomaba el magistrado que presidía una audiencia territorial.	19/11/1929 ( )	Regente Mendieta; Lletra F (plànol de l'Eixample de les Corts), 29/01/1925	LES CORTS (04)
2663	275202	C	Carrer de Ramon Miquel i Planas	R Miquel i Planas	Por la misma dedicación que la calle.	19/11/1929 ( )	Regente Mendieta	LES CORTS (04)
2664	275257	Pl	Plaça de Ramon Riera	Pl Ramon Riera	A principios del siglo XI, el conde Mir emprende la restauración de la vieja acequia romana para asegurar irrigaciones, mover molinos y traer agua a las puertas de la ciudad, vertiendo la corriente al Merdançà, desviando ésta del viejo puerto y llevando la acequia al mar por el pie de la muralla hasta la bajada que se denominará del Regomir. La versión más creíble es que se trata de un apellido de familia, teniendo en cuenta que los apellidos provienen del nombre de lugar. Mateu Regomir fue canciller de la ciudad en el año 1258. El <i>Castrum Regominorum</i> es mencionado en el año 1025.		Bda. de la Palma	CIUTAT VELLA (01)
2665	275304	C	Carrer de Ramon Rocafull	Ramon Rocafull	Por la misma dedicación que la calle.		Correo Viejo	CIUTAT VELLA (01)
2666	275450	Pl	Plaça de Raquel Meller	Pl Raquel Meller	Josep Reig i Bonet (Barcelona ? - 1868). Fabricante. Teniente de alcalde de Barcelona en el año 1864. Caballero de la Real Orden de Carlos III, por nombramiento de la reina Isabel II, en el año 1859. Representante de España y comisario regio de la Exposición de Londres de 1862. Urbanizó y edificó, de 1856 a 1863, en la calle que lleva su nombre, una gran fábrica de sederías que llegó a ser la primera en la industria y que dio lugar al progreso urbanístico de la barriada. Compró la propiedad a Eulàlia Simó i Farriols.	26/07/1928 ( )	Sardana; Fruta, abans de 1900	GRÀCIA (06)
2667	275508	C	Carrer de Raset	Raset	María Josefa Amalia de Sajonia (? 1803 - Aranjuez, Madrid 1829). Tercera esposa de Fernando VII. El nombre fue dado a la calle para recordar la visita que los reyes consortes hicieron a Barcelona el 4 de diciembre de 1827.	19/08/1947 ( )	Amàlia, abans de 1865; Reina Doña Josefa Amalia	CIUTAT VELLA (01)
2668	275600	Av	Avinguda dels Rasos de Peguera	Av Rasos Peguera	María Cristina de Nápoles (Nápoles 1806 - París 1878). Cuarta mujer de Fernando VII, madre de Isabel II. Reina regente de España tras la muerte de Fernando (1833), fue obligada a abdicar en el año 1840, momento en el que se retiró en París.	19/08/1947 ( )	Cristina, abans de 1865; Dulce, abans de 1854; Cristina	CIUTAT VELLA (01)
2669	275701	Ptge	Passatge de Ratés	Ptge Ratés	(? 1292 - Sarrià 1364). Tercera mujer de Jaime II e hija de Pere de Montcada, erigió el monasterio de Pedralbes.	 ( )	Ctra. de Cornella a Fogás de Tordera; Ctra. de Esplugas (un tram)	SARRIÀ-SANT GERVASI (05)
2670	275803	C	Carrer d'en Rauric	Rauric	Leonor de Sicilia (? 1325 - Lleida, Segrià 1375). Reina de Cataluña y Aragón. Tercera mujer de Pedro el Ceremonioso, que le regaló el Palacio de la Reina (inmediato a la calle), derribado el año 1855 para hacer casas de alquiler.		Reina Leonor; Leonor, abans de 1865	CIUTAT VELLA (01)
2671	275905	C	Carrer de Ravella	Ravella	María Cristina de Habsburgo-Lorena (Moravia 1858 - Madrid 1929). Segunda esposa de Alfonso XII y madre de Alfonso XIII.	07/03/1939 ( )	Pi y Maragall; América; Reina Maria Cristina	SANTS-MONTJUÏC (03)
2672	276001	Pl	Plaça Reial	Pl Reial	Por la misma dedicación que la avenida.	07/03/1939 ( )	Alejandro Lerroux; Reina Maria Cristina; Luis Bello	LES CORTS (04)
2673	276103	C	Carrer de l'Isard	Isard	Victoria-Eugenia de Battenberg (Castillo de Balmoral, Inglaterra 1887 - Lausana, Suiza 1969). Hija del príncipe Enrique de Battenberg y de la princesa Beatriz de Gran Bretaña (nieta pequeña de la reina Victoria). Esposa de Alfonso XIII (bodas el 31 de mayo de 1906).	07/03/1939 ( )	Mariana Pineda, 26/08/1931; Reina Victòria, 21/01/1915; Escornalbou, 05/09/1907; Reina Regente, 03/05/1901; Batllori, 05/01/1876	SARRIÀ-SANT GERVASI (05)
2674	276307	C	Carrer de Recesvint	Recesvint	Por la misma dedicación que la calle.	 ( )		EIXAMPLE (02)
2675	276500	C	Carrer del Rector Bruguera	Rector Bruguera	"Joan Reixac (siglo XV). Pintor ""del Señor Rey"". Miembro de una familia de artistas. La calle pertenece a un grupo de viales del barrio del sudoeste del Besòs, dedicados a artistas."		Reixach	SANT MARTÍ (10)
2676	276602	C	Carrer del Rector de Vallfogona	Rector Vallfogona	Abierto por los propietarios Arnús y Codina en el año 1862. En el centro del pasaje figuraba un gran reloj que señalaba las horas de las grandes capitales del mundo, los días del mes y las fases de la luna.		Reloj	CIUTAT VELLA (01)
2677	276680	Av	Avinguda del Rectoret	Av Rectoret	Harmensz van Rijn (Leiden 1606 - Amsterdam 1669). Pintor. Máximo exponente del arte holandés del siglo XVII. Pintor clasicista influido por la obra de Caravaggio.	28/01/1959 ( )		HORTA-GUINARDÓ (07)
2678	276704	C	Carrer de la Rectoria	Rectoria	La Virgen del Remedio, titular de la iglesia parroquial de Les Corts. Advocación mariana que surgió en el siglo XIV con motivo de las pestes que asolaron Europa. Advocación relacionada con los trinitarios.	08/09/1848 ( )	Remedio	LES CORTS (04)
2679	276908	C	Carrer del Rec	Rec	Proceso de recuperación de la lengua y literatura catalanas llevado a cabo a partir de la segunda mitad del siglo XIX.		Renacimiento	HORTA-GUINARDÓ (07)
2680	277004	C	Carrer del Rec Comtal	Rec Comtal	Francesc Renart i Arús (Sarrià 1783 - Barcelona 1853). Arquitecto, urbanista y comediógrafo, precursor de la escena catalana de la Renaixença. Urbanista catalán más importante anterior a Ildefons Cerdà, defensor del patrimonio monumental de la ciudad. Miembro de la Academia de Buenas Letras (1822).	05/09/1907 ( )	San Andrés, abans de 1900	SANT ANDREU (09)
2681	277106	Ptge	Passatge del Redemptor	Ptge Redemptor	Según la antigua existencia en la calle de un repartidor de agua.	 ( )	Repentida	GRÀCIA (06)
2682	277208	C	Carrer de Regàs	Regàs	Angeleta Ferrer i Sensat (Barcelona 1904 - 1992). Licenciada en Ciencias Naturales. Hija de la ilustre pedagoga Rosa Sensat. Profesora de la cátedra de Zoografía de Articulados de la Universidad de Barcelona, del Instituto Balmes, del centro de bachillerato Monturiol, el instituto Isabel la Católica de Madrid, el Instituto de Reus y directora del instituto de bachillerato Infanta Isabel de Aragón (1966-1974).	11/05/1998 ( )	Repòs, 12/06/1980	SANT MARTÍ (10)
2683	277300	C	Carrer del Regent Mendieta	Regent Mendieta	Debe su nombre a Argentina, estado de Sudamérica.	03/05/1917 ( )	Pº de la Diputación, 1879; Ctra. de Sant Cugat; Hermosilla (un tram), 1870	SARRIÀ-SANT GERVASI (05) GRÀCIA (06)
2684	277401	Ptge	Passatge del Regent Mendieta	Ptge Rgnt Mendieta	Linaje de mercaderes y ciudadanos que se encuentran establecidos ya en el siglo XIII en Tarragona. Uno de los personajes de más renombre de la familia fue Lluís de Requesens y de Zúñiga (Barcelona 1528 - Bruselas 1576). Comendador mayor de Castilla en la orden de San Jaime. Consejero de Juan de Austria. Embajador en Roma junto a Pío IV. Hijo de Juan de Zúñiga y Avellaneda y Estefania de Requesens i Rois de Liori, antepuso el apellido de la madre por razones de herencia.			CIUTAT VELLA (01)
2685	277503	C	Carrer del Regomir	Regomir	Nombre que se debe a la existencia en la calle de un edificio destinado a residencia de viudas de militares.	07/07/1942 ( )		SANT ANDREU (09)
2686	277605	Pl	Plaça del Regomir	Pl Regomir	Calle que forma conjunto con la de Romaninar, en el extremo sudoeste del núcleo urbano de Vallvidrera.	15/05/1962 ( )	Retama	SARRIÀ-SANT GERVASI (05)
2687	277707	C	Carrer de Reig i Bonet	Reig i Bonet	Debe su nombre a Reus, municipio del Baix Camp.	05/09/1907 ( )	San Vicente	SARRIÀ-SANT GERVASI (05)
2688	277809	C	Carrer de la Reina Amàlia	Reina Amàlia	Amadeu Oller i Berenguer (Barcelona 1901 - 1957). Rector de la parroquia de Sant Medir.	08/11/1962 ( )	Reverendo Amadeo Oller; Panas; Vilasar (3r tram); Vistalegre, abans de 1900	SANTS-MONTJUÏC (03)
2689	277900	C	Carrer de la Reina Cristina	Reina Cristina	Josep Bundó i Vidal (La Bisbal del Penedès, Baix Penedès 1876 - Barcelona 1963). Rector de la parroquia de San Antonio de Padua.	14/06/1952 ( )	Reverendo José Bundó	HORTA-GUINARDÓ (07)
2690	278007	Pg	Passeig de la Reina Elisenda de Montcada	Pg Rna E Montcada	Quintí Mallofrè i Suriol (Sant Quintí de Mediona, Alt Penedès 1876 - Barcelona 1936). Ecónomo de Sant Andreu de Palomar.	28/05/1962 ( )	Reverendo Quintín Mallofré	SANT ANDREU (09)
2691	278109	C	Carrer de la Reina Elionor	Reina Elionor	Epifani Lorda i Roig (Arenys de Mar, Maresme 1896 - Barcelona 1964). Rector de la parroquia de la Trinitat.	09/03/1966 ( )	Reverendo Epifanio Lorda; Reverendo Padre Lorda	SANT ANDREU (09)
2692	278200	Av	Avinguda de la Reina Maria Cristina	Av Rna M Cristina	Lluís Xiró i Roig (Girona 1869 - Barcelona 1936). Rector de la parroquia de Sant Gervasi desde el año 1916 hasta su muerte.	09/12/1965 ( )	Reverendo Doctor Xiró	SARRIÀ-SANT GERVASI (05)
2693	278302	Pl	Plaça de la Reina Maria Cristina	Pl Rna M Cristina	Joaquim Masdexexart i Castellà (Mataró, Maresme 1892 - Barcelona 1965). Rector de Sant Miquel dels Sants, en Gràcia. Fundador de las Asociaciones Católicas Benéficas.	25/09/1969 ( )	Reverendo Masdexexart; San Salvador, abans de 1900	GRÀCIA (06)
2694	278404	C	Carrer de la Reina Victòria	Reina Victòria	El nombre proviene del hecho de que frente a ella está el palacio real de los condes de Barcelona y su capilla, denominada de Santa Ágata. Data, al menos, del siglo XIII. A lo largo de los siglos ha sido testigo de innumerables hechos históricos.		Rey	CIUTAT VELLA (01)
2695	278459	Jard	Jardins de la Reina Victòria	Jard Rna Victòria	Martín I el Humano, rey de Cataluña y Aragón (Perpiñán, Rosellón 1356 - Barcelona 1410). Último rey de la dinastía catalana.	05/09/1907 ( )	Rey Martín; Gedró (de Gayarre a Joanot Martorell); Francesc Batiste; Santa Ana, abans de 1900	SANTS-MONTJUÏC (03)
2696	278608	C	Carrer de Reixac	Reixac	Fernando II de Cataluña y Aragón, denominado el Católico (Sos, Aragón 1452 - Madrigalejo 1516), rey de Castilla (Fernando V), de Sicilia (Fernando II) y de Nápoles (Fernando III) y Isabel de Castilla, llamada la Católica (Madrigal de las Altas Torres 1451 - Medina del Campo 1504), reina de Castilla-León y de Cataluña y Aragón).			SARRIÀ-SANT GERVASI (05)
2697	278700	Ptge	Passatge del Rellotge	Ptge Rellotge	Debe su nombre a la belladona, la planta. Forma parte de un conjunto de calles con nombres de árboles y plantas.	10/04/1981 ( )	Comí (un tram); Reis Catòlics	SARRIÀ-SANT GERVASI (05)
2698	278801	C	Carrer de Rembrandt	Rembrandt	Rialb (escrito originariamente Rialp), del latín <i>rivo albo</i>. Filántropo de Sant Andreu de Palomar. Personaje asociado con el barón de Rialp (Rialb), industrial y consejero del Ayuntamiento. El apellido Rialb se encuentra en los terratenientes del lugar como Josep de Peguera i Rialb (siglo XVIII), padre de Joan de Peguera i Bayllet, que tiene una calle dedicada.		Rialp; Cementiri, abans de 1900	NOU BARRIS (08)
2699	278903	C	Carrer del Remei	Remei	Debe su nombre a Ribagorça, región del Principado.	05/09/1907 ( )	Ribagorza; San Pedro, 1861	SARRIÀ-SANT GERVASI (05)
