name,ISIN,Ticker,Fund CCY,Fund size [M],TER in % p.a.,1Y in %,3Y in %,5Y in %,2020 in %,2019 in %,2018 in %,2017 in %
Lyxor 1 MDAX® UCITS ETF,DE000ETF9074,E907,EUR,213,0.30%,49.52%,25.06%,57.55%,8.18%,30.71%,-18.14%,17.67
Lyxor 1 SDAX® UCITS ETF,DE000ETF9058,E905,EUR,18,0.70%,58.76%,27.88%,-,16.71%,30.54%,-20.76%,23.80
Lyxor 1 STOXX® Europe 600 UCITS ETF,DE000ETF9603,E960,EUR,42,0.19%,36.36%,26.24%,-,-1.71%,28.04%,-,-
Lyxor 1 TecDAX® UCITS ETF,DE000ETF9082,E908,EUR,95,0.40%,25.75%,36.80%,-,6.08%,22.74%,-3.62%,39.02
Lyxor ATX (DR) UCITS ETF,LU0392496690,C031,EUR,13,0.25%,53.21%,-1.63%,57.27%,-11.39%,19.70%,-18.07%,32.75
Lyxor Australia (S&P/ASX 200) UCITS ETF - Dist,LU0496786905,AU2,EUR,67,0.40%,53.62%,35.28%,61.17%,1.53%,24.62%,-8.74%,5.36
Lyxor Barclays Floating Rate Euro 0-7Y UCITS ETF - Acc,LU1829218319,FLOT,EUR,624,0.15%,2.40%,-0.03%,0.66%,0.13%,1.80%,-2.35%,0.71
Lyxor Bloomberg Equal-weight Commodity ex-Agriculture EUR hedged UCITS ETF,LU1275255799,C099,EURHedged,38,0.35%,42.91%,11.29%,41.25%,-1.52%,12.83%,-11.69%,12.35
Lyxor Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF,LU0419741177,C090,USD,742,0.30%,33.15%,24.18%,50.63%,-7.47%,18.71%,-4.67%,0.42
Lyxor Bund-Future UCITS ETF,LU0508799334,5X60,EUR,5,0.20%,0.02%,8.71%,10.32%,3.21%,4.10%,3.27%,0.43
Lyxor CAC 40 (DR) UCITS ETF - J-EUR,FR0011122233,-,EUR,90,0.25%,40.75%,26.65%,64.79%,-5.11%,30.20%,-8.18%,12.43
Lyxor China Enterprise (HSCEI) UCITS ETF - Acc,LU1900068914,ASI,EUR,289,0.65%,6.95%,3.56%,37.12%,-9.18%,15.38%,-7.11%,10.97
Lyxor Commodities  Refinitiv/CoreCommodity CRB EX-Energy TR UCITS ETF - Acc,LU1829218582,CRN,EUR,82,0.35%,25.44%,13.59%,10.69%,2.08%,5.00%,-5.93%,-10.28
Lyxor Commodities  Refinitiv/CoreCommodity CRB TR UCITS ETF - Acc,LU1829218749,CRB,EUR,771,0.35%,31.39%,2.41%,7.29%,-17.30%,13.09%,-6.71%,-11.31
Lyxor Core DAX (DR) UCITS ETF,LU0378438732,C001,EUR,960,0.08%,46.36%,22.46%,54.18%,3.04%,24.91%,-18.62%,12.02
Lyxor Core EURO STOXX 300 (DR) UCITS ETF Acc,LU0908501058,MFED,EUR,348,0.07%,44.32%,25.61%,62.99%,0.59%,26.72%,-12.15%,14.11
Lyxor Core EURO STOXX 50 (DR) UCITS ETF Acc,LU0908501215,MSED,EUR,106,0.07%,43.28%,27.77%,59.61%,-2.70%,28.84%,-11.40%,9.64
Lyxor Core EURO STOXX 50 (DR) UCITS ETF Dist,LU0908501488,MTDB,EUR,251,0.07%,-,-,-,-,-,-,-
Lyxor Core Morningstar UK NT (DR) UCITS ETF - Dist,LU1781541096,LCUK,GBP,119,0.04%,30.16%,10.56%,-,-16.10%,24.53%,-,-
Lyxor Core Morningstar US Equity (DR) UCITS ETF - Dist,LU1781540957,LCUS,USD,48,0.04%,40.45%,70.58%,-,10.25%,33.32%,-,-
Lyxor Core MSCI EMU (DR) UCITS ETF - Dist,LU1646360971,MFE,EUR,269,0.12%,42.81%,23.05%,56.90%,-0.82%,25.97%,-12.29%,12.61
Lyxor Core MSCI Japan (DR) UCITS ETF - Acc,LU1781541252,LCUJ,JPY,"1,433",0.12%,27.41%,25.47%,-,5.15%,22.31%,-,-
Lyxor Core MSCI Japan (DR) UCITS ETF - Daily Hedged to EUR - Dist,LU2133056387,JNHD,EURHedged,8,0.20%,-,-,-,-,-,-,-
Lyxor Core MSCI Japan (DR) UCITS ETF - Dist,LU2090063673,NADA,JPY,25,0.12%,-,-,-,-,-,-,-
Lyxor Core MSCI World (DR) UCITS ETF - Acc,LU1781541179,LCUW,USD,836,0.12%,38.57%,53.40%,-,6.12%,29.92%,-,-
Lyxor Core STOXX Europe 600 (DR) UCITS ETF Acc,LU0908500753,MEUD,EUR,"2,461",0.07%,36.81%,26.96%,51.80%,-1.79%,27.22%,-10.54%,10.73
Lyxor Core STOXX Europe 600 (DR) UCITS ETF Monthly Hedged to EUR - Dist,LU1574142243,STXH,EURHedged,13,0.15%,36.37%,25.15%,-,-0.88%,24.90%,-10.90%,-
Lyxor Core US TIPS (DR) UCITS ETF - Dist,LU1452600270,TIPU,USD,886,0.09%,-3.85%,21.64%,-,2.02%,10.73%,3.09%,-9.27
Lyxor DAX (DR) UCITS ETF - Acc,LU0252633754,DAX,EUR,786,0.15%,46.28%,22.23%,54.06%,3.16%,24.79%,-18.66%,12.04
Lyxor DAX (DR) UCITS ETF - Dist,LU2090062436,-,EUR,58,0.15%,-,-,-,-,-,-,-
Lyxor DivDAX (DR) UCITS ETF,LU0603933895,C003,EUR,72,0.25%,57.56%,24.39%,64.41%,1.89%,23.21%,-16.57%,13.14
Lyxor DJ Switzerland Titans 30 (DR) UCITS ETF,LU0392496427,C030,CHF,69,0.25%,26.20%,45.86%,65.94%,4.06%,33.43%,-7.85%,9.63
Lyxor Dow Jones Industrial Average (LUX) UCITS ETF,LU0378437502,C010,USD,85,0.45%,32.35%,50.87%,97.20%,-1.69%,29.47%,-0.88%,11.75
Lyxor Dow Jones Industrial Average UCITS ETF - Dist,FR0007056841,DJE,EUR,251,0.50%,32.23%,51.11%,98.36%,-0.01%,26.76%,0.69%,11.80
Lyxor ESG Euro High Yield (DR) UCITS ETF - Dist,LU1812090543,YIEL,EUR,75,0.25%,18.55%,8.94%,21.22%,1.34%,10.28%,-4.68%,4.77
Lyxor EUR 2-10Y Inflation Expectations UCITS ETF - Acc,LU1390062245,INFL,EUR,"1,269",0.25%,4.13%,-4.00%,-,-2.86%,-1.59%,-2.78%,-0.37
Lyxor Euro Corporate Bond Ex Financials UCITS ETF - Acc,LU1829218822,CNB,EUR,59,0.14%,8.80%,6.10%,7.50%,2.97%,5.47%,-2.52%,1.07
Lyxor Euro Corporate Bond UCITS ETF - Acc,LU1829219127,CRP,EUR,736,0.14%,8.66%,7.40%,9.32%,2.52%,5.76%,-1.39%,1.11
Lyxor Euro Government Bond (DR) UCITS ETF - Acc,LU1650490474,MTX,EUR,975,0.14%,3.17%,8.26%,9.08%,4.81%,6.34%,0.63%,-0.03
Lyxor Euro Government Bond 1-3Y (DR) UCITS ETF - Acc,LU1650487413,MTA,EUR,853,0.17%,0.27%,-1.03%,-1.57%,-0.16%,-0.13%,-0.47%,-0.60
Lyxor Euro Government Bond 1-3Y (DR) UCITS ETF - Dist,LU1650487926,EGV3,EUR,30,0.17%,-,-,-,-,-,-,-
Lyxor Euro Government Bond 10-15Y (DR) UCITS ETF - Acc,LU1650489385,MTE,EUR,129,0.17%,5.12%,13.45%,15.34%,6.77%,10.70%,0.68%,0.58
Lyxor Euro Government Bond 10-15Y (DR) UCITS ETF - Dist,LU1650489898,NADB,EUR,4,0.17%,-,-,-,-,-,-,-
Lyxor Euro Government Bond 15+Y (DR) UCITS ETF - Acc,LU1287023268,MTF,EUR,106,0.17%,5.57%,22.55%,23.70%,13.03%,17.02%,2.76%,-0.86
Lyxor Euro Government Bond 15+Y (DR) UCITS ETF - Dist,LU2090062782,E15G,EUR,4,0.17%,-,-,-,-,-,-,-
Lyxor Euro Government Bond 25+Y (DR) UCITS ETF - Dist,LU1686832277,DFOB,EUR,20,0.10%,-,-,-,-,-,-,-
Lyxor Euro Government Bond 3-5Y (DR) UCITS ETF - Acc,LU1650488494,MTB,EUR,373,0.17%,1.68%,1.13%,1.60%,1.11%,1.10%,-0.40%,-0.22
Lyxor Euro Government Bond 3-5Y (DR) UCITS ETF - Dist,LU1650488817,EGV5,EUR,6,0.17%,-,-,-,-,-,-,-
Lyxor Euro Government Bond 5-7Y (DR) UCITS ETF - Acc,LU1287023003,MTC,EUR,203,0.17%,3.05%,5.34%,6.00%,2.64%,3.99%,-0.02%,0.17
Lyxor Euro Government Bond 5-7Y (DR) UCITS ETF - Dist,LU2090062865,EGV7,EUR,9,0.17%,-,-,-,-,-,-,-
Lyxor Euro Government Bond 7-10Y (DR) UCITS ETF - Acc,LU1287023185,MTD,EUR,276,0.17%,3.82%,9.47%,11.49%,4.34%,6.43%,1.08%,1.11
Lyxor Euro Government Bond 7-10Y (DR) UCITS ETF - Dist,LU2090062949,MTDD,EUR,10,0.17%,-,-,-,-,-,-,-
Lyxor Euro Government Inflation Linked Bond (DR) UCITS ETF - Acc,LU1650491282,MTI,EUR,790,0.09%,11.05%,8.55%,13.30%,2.97%,6.56%,-1.71%,1.17
Lyxor Euro Government Inflation Linked Bond (DR) UCITS ETF - Dist,LU1650491795,E15H,EUR,20,0.09%,-,-,-,-,-,-,-
Lyxor Euro Overnight Return UCITS ETF - Acc,FR0010510800,CSH,EUR,406,0.10%,-0.68%,-1.87%,-2.77%,-0.68%,-0.61%,-0.56%,-0.46
Lyxor EURO STOXX 50 (DR) UCITS ETF - Acc,FR0007054358,MSE,EUR,"4,155",0.20%,42.58%,27.16%,58.44%,-2.83%,28.78%,-11.62%,9.55
Lyxor EURO STOXX Banks (DR) UCITS ETF - Acc,LU1829219390,BNKE,EUR,"1,036",0.30%,59.54%,-23.06%,7.71%,-22.85%,17.01%,-30.74%,14.21
Lyxor EURO STOXX Select Dividend 30 UCITS ETF,LU0378434236,C051,EUR,75,0.25%,50.40%,5.02%,31.35%,-18.13%,22.74%,-11.48%,8.73
Lyxor EuroMTS Covered Bond Aggregate UCITS ETF - Dist,LU1686830065,ECB,EUR,65,0.17%,1.36%,2.52%,2.80%,1.32%,1.73%,-0.04%,0.38
Lyxor EuroMTS Highest Rated Macro-Weighted Government Bond (DR) UCITS ETF - Acc,LU1287023342,MAA,EUR,833,0.17%,0.35%,6.31%,5.08%,3.47%,3.90%,1.78%,-0.90
Lyxor EuroMTS Highest Rated Macro-Weighted Government Bond 1-3 (DR) UCITS ETF - Acc,LU1829219556,MA13,EUR,155,0.17%,-0.56%,-2.01%,-3.23%,-0.67%,-0.79%,-0.51%,-0.98
Lyxor EuroMTS Highest Rated Macro-Weighted Government Bond 3-5 (DR) UCITS ETF - Acc,LU1829219713,MA35,EUR,123,0.17%,0.03%,0.35%,-0.54%,0.11%,0.13%,0.37%,-1.00
Lyxor F.A.Z. 100 Index (DR) UCITS ETF,LU0650624025,C006,EUR,86,0.15%,44.38%,16.66%,48.28%,1.50%,23.15%,-18.72%,14.75
Lyxor Fed Funds USD Cash UCITS ETF - Dist,LU2090062352,C101,USD,9,0.10%,-8.69%,-,-,-,-,-,-
Lyxor FTSE 100 UCITS ETF - Dist,LU1650492256,100D,GBP,32,0.14%,28.21%,9.06%,18.67%,-16.53%,23.07%,-9.62%,5.58
Lyxor FTSE China A50 UCITS ETF,LU0947415054,C024,USD,32,0.40%,36.91%,42.95%,79.17%,21.54%,39.87%,-22.04%,23.58
Lyxor FTSE EPRA/NAREIT Global Developed UCITS ETF - Dist (EUR),LU1832418773,MWO,EUR,112,0.45%,21.06%,20.80%,17.83%,-16.96%,23.58%,-1.28%,-3.01
Lyxor FTSE EPRA/NAREIT United States UCITS ETF - Dist (EUR),LU1832418856,MUA,EUR,10,0.40%,21.46%,28.32%,14.73%,-18.69%,24.23%,-0.86%,-9.58
Lyxor Germany Mid-Cap MDAX UCITS ETF - Dist,FR0011857234,MD4X,EUR,73,0.20%,49.80%,25.46%,58.36%,8.37%,30.68%,-17.92%,17.68
Lyxor Global Gender Equality (DR) UCITS ETF - Acc,LU1691909508,ELLE,USD,38,0.20%,43.27%,47.34%,-,1.16%,28.66%,-4.95%,-
Lyxor Green Bond (DR) UCITS ETF - Acc,LU1563454310,CLIM,EUR,407,0.25%,3.13%,12.87%,-,3.01%,8.42%,1.58%,-
Lyxor Green Bond (DR) UCITS ETF - Monthly Hedged to EUR - Acc,LU1563454823,KLMH,EURHedged,143,0.30%,4.83%,9.07%,-,4.63%,6.98%,-,-
Lyxor Green Bond ESG Screened (DR) UCITS ETF - Acc,LU1981859819,XCO2,EUR,26,0.25%,2.44%,-,-,3.69%,-,-,-
Lyxor Hong Kong (HSI) UCITS ETF - Dist,LU1900067940,HSI,EUR,130,0.65%,12.37%,7.58%,52.35%,-9.20%,14.27%,-7.42%,21.53
Lyxor HSCEI UCITS ETF,LU0488316992,C023,HKD,11,0.55%,6.66%,3.60%,36.09%,-11.06%,18.82%,-8.35%,10.63
Lyxor HSI UCITS ETF,LU0488316729,C022,HKD,11,0.55%,12.23%,7.67%,51.40%,-10.29%,17.46%,-8.78%,20.91
Lyxor Hwabao WP MSCI China A (DR) UCITS ETF - Acc,FR0011720911,CNAA,USD,190,0.35%,35.30%,39.53%,49.41%,30.04%,39.77%,-27.11%,7.30
Lyxor iBoxx EUR Germany Covered Capped Overall UCITS ETF,LU0488317610,C540,EUR,7,0.12%,0.81%,3.81%,2.48%,1.77%,2.90%,0.01%,-0.39
Lyxor iBoxx EUR Liquid Sovereigns Diversified 3m-1 UCITS ETF,LU0444605728,X501,EUR,1,0.12%,-1.34%,-2.75%,-3.81%,-1.13%,-0.59%,-0.73%,-0.62
Lyxor iBoxx EUR Liquid Sovereigns Diversified Overall UCITS ETF,LU0444605645,X500,EUR,195,0.12%,2.71%,7.53%,9.06%,3.04%,5.68%,1.12%,0.40
Lyxor iBoxx EUR Sovereigns Germany Capped 1-5 UCITS ETF,LU0444606882,8521,EUR,0,0.12%,-1.12%,-1.60%,-2.47%,-0.86%,-0.48%,0.03%,-0.95
Lyxor iBoxx EUR Sovereigns Germany Capped 10+ UCITS ETF,LU0444607005,8523,EUR,3,0.12%,-1.98%,16.70%,13.13%,7.59%,9.43%,6.47%,-2.71
Lyxor iBoxx EUR Sovereigns Germany Capped 3m-2 UCITS ETF,LU0444606700,8520,EUR,5,0.12%,-1.65%,-3.24%,-4.48%,-1.63%,-0.80%,-0.73%,-0.87
Lyxor iBoxx EUR Sovereigns Germany Capped 5-10 UCITS ETF,LU0444606965,8522,EUR,4,0.12%,-0.98%,4.32%,3.36%,1.16%,2.43%,2.22%,-0.91
Lyxor iBoxx USD Liquid Emerging Markets Sovereigns UCITS ETF - Dist,LU1686830909,LEMB,USD,236,0.30%,5.17%,13.76%,12.83%,-4.43%,15.82%,-0.03%,-4.91
Lyxor Japan (TOPIX) (DR) UCITS ETF - Daily Hedged to EUR - Dist,FR0011475078,JPNH,EURHedged,207,0.45%,37.64%,15.10%,54.95%,5.00%,16.89%,-17.65%,20.44
Lyxor Japan (TOPIX) (DR) UCITS ETF - Dist EUR,FR0010245514,JPN,EUR,722,0.45%,25.71%,19.67%,54.91%,2.53%,21.62%,-10.71%,10.27
Lyxor JPX-Nikkei 400 (DR) UCITS ETF - Daily Hedged to EUR - Dist,LU1646360542,JPNE,EURHedged,24,0.25%,38.35%,-,-,7.36%,-,-,-
Lyxor MDAX (DR) UCITS ETF,LU1033693638,C007,EUR,240,0.30%,49.66%,25.11%,57.04%,8.26%,30.64%,-18.13%,17.42
Lyxor MSCI AC Asia Ex Japan UCITS ETF - Acc,LU1900068161,APX,EUR,437,0.50%,42.01%,33.55%,83.30%,13.80%,19.40%,-10.77%,23.61
Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF - Acc,LU1900068328,AEJ,EUR,843,0.60%,43.12%,33.94%,78.42%,11.51%,20.31%,-10.40%,19.27
Lyxor MSCI All Country World UCITS ETF - Acc (EUR),LU1829220216,ACWI,EUR,471,0.45%,38.63%,49.23%,83.57%,6.43%,28.66%,-5.07%,8.73
Lyxor MSCI Brazil UCITS ETF - Acc,LU1900066207,RIO,EUR,219,0.65%,25.36%,-15.09%,40.38%,-26.49%,27.40%,1.22%,8.41
Lyxor MSCI Canada UCITS ETF - Dist,LU0496786731,TSX,EUR,44,0.40%,41.56%,38.46%,56.66%,-3.37%,29.79%,-13.06%,2.44
Lyxor MSCI China UCITS ETF - Acc,LU1841731745,LCCN,USD,147,0.29%,32.07%,-,-,18.34%,25.35%,-,-
Lyxor MSCI Digital Economy ESG Filtered (DR) UCITS ETF - Acc,LU2023678878,EBUY,USD,141,0.15%,78.09%,-,-,-,-,-,-
Lyxor MSCI Disruptive Technology ESG Filtered (DR) UCITS ETF - Acc,LU2023678282,UNIC,USD,272,0.15%,77.52%,-,-,-,-,-,-
Lyxor MSCI Eastern Europe ex Russia UCITS ETF - Acc,LU1900066462,CEC,EUR,152,0.50%,25.11%,-19.90%,8.01%,-18.80%,1.06%,-8.15%,30.60
Lyxor MSCI EM Asia UCITS ETF - Acc,LU1781541849,LCUA,USD,185,0.12%,46.42%,37.99%,-,17.28%,21.22%,-,-
Lyxor MSCI EM ESG Trend Leaders UCITS ETF - Acc,LU1769088581,LESG,USD,116,0.25%,43.81%,27.89%,-,7.68%,21.35%,-,-
Lyxor MSCI EM Latin America UCITS ETF - Acc,LU1900066629,LTM,EUR,41,0.65%,32.81%,-13.95%,19.78%,-21.59%,18.76%,-2.53%,7.99
Lyxor MSCI Emerging Markets (LUX) UCITS ETF,LU0635178014,E127,USD,663,0.14%,43.75%,26.78%,73.78%,7.29%,22.16%,-12.03%,20.86
Lyxor MSCI Emerging Markets Ex China UCITS ETF - Acc,LU2009202107,EMXC,USD,38,0.29%,50.53%,-,-,2.54%,-,-,-
Lyxor MSCI Emerging Markets UCITS ETF - Acc EUR,FR0010429068,LEM,EUR,"1,080",0.55%,42.18%,24.73%,70.54%,7.77%,19.55%,-11.03%,19.82
Lyxor MSCI EMU ESG Trend Leaders (DR) UCITS ETF - Acc,LU1792117340,LESE,EUR,46,0.20%,39.02%,-,-,0.26%,25.04%,-,-
Lyxor MSCI EMU Growth (DR) UCITS ETF - Dist,LU1598688189,GWT,EUR,53,0.40%,39.55%,36.96%,63.90%,5.97%,32.49%,-10.92%,13.77
Lyxor MSCI EMU Small Cap (DR) UCITS ETF - Dist,LU1598689153,MMS,EUR,251,0.40%,58.05%,26.99%,71.55%,5.13%,28.17%,-17.36%,24.31
Lyxor MSCI EMU Value (DR) UCITS ETF - Dist,LU1598690169,VAL,EUR,403,0.40%,44.80%,7.85%,39.92%,-8.07%,18.67%,-14.13%,10.09
Lyxor MSCI Europe (DR) UCITS ETF - Acc,FR0010261198,MEU,EUR,"1,202",0.25%,34.89%,24.10%,48.80%,-3.33%,26.18%,-10.48%,10.33
Lyxor MSCI Europe ESG Leaders (DR) UCITS ETF - Acc,LU1940199711,ESGE,EUR,797,0.20%,35.77%,-,-,0.38%,-,-,-
Lyxor MSCI Europe Mid Cap UCITS ETF,LU0392496260,X025,USD,21,0.35%,47.52%,31.17%,56.56%,3.80%,31.46%,-14.16%,14.13
Lyxor MSCI Europe Small Cap UCITS ETF,LU0392496344,X026,USD,59,0.35%,57.05%,30.62%,63.98%,3.97%,32.84%,-16.98%,18.77
Lyxor MSCI Europe UCITS ETF,LU0392494646,X011,USD,12,0.25%,34.80%,23.49%,47.19%,-3.60%,27.67%,-11.25%,10.12
Lyxor MSCI Future Mobility ESG Filtered (DR) UCITS ETF - Acc,LU2023679090,ELCR,USD,142,0.15%,122.82%,-,-,-,-,-,-
Lyxor MSCI Greece UCITS ETF - Dist,FR0010405431,GRE,EUR,144,0.45%,41.06%,3.57%,45.92%,-15.83%,46.17%,-22.03%,20.61
Lyxor MSCI India UCITS ETF - Acc (EUR),FR0010361683,INR,EUR,681,0.85%,56.44%,24.56%,54.81%,4.25%,7.72%,-4.21%,19.90
Lyxor MSCI Indonesia UCITS ETF - Acc,LU1900065811,INDO,EUR,28,0.45%,27.53%,-7.38%,2.72%,-15.94%,10.49%,-5.09%,8.58
Lyxor MSCI Italy UCITS ETF,LU1104574725,C032,EUR,2,0.25%,40.14%,9.63%,49.17%,-6.86%,30.61%,-13.44%,13.02
Lyxor MSCI Korea UCITS ETF - Acc,LU1900066975,KRW,EUR,123,0.45%,74.82%,38.56%,94.95%,30.05%,14.24%,-18.24%,28.38
Lyxor MSCI Malaysia UCITS ETF - Acc,LU1901001542,MAL,EUR,13,0.45%,12.31%,-12.48%,-8.95%,-5.36%,-0.63%,-1.92%,9.15
Lyxor MSCI Millennials ESG Filtered (DR) UCITS ETF - Acc,LU2023678449,MILL,USD,107,0.15%,71.23%,-,-,-,-,-,-
Lyxor MSCI North America UCITS ETF,LU0392494992,X013,USD,116,0.25%,40.61%,70.39%,107.09%,8.72%,35.61%,-2.03%,6.39
Lyxor MSCI Pacific Ex Japan UCITS ETF - Dist,LU1220245556,PAXJ,USD,24,0.12%,38.46%,28.77%,58.74%,-2.60%,20.60%,-6.00%,10.55
Lyxor MSCI Pacific UCITS ETF,LU0392495023,X014,USD,223,0.45%,30.06%,25.02%,56.45%,2.05%,22.15%,-8.91%,8.96
Lyxor MSCI Russia UCITS ETF - Acc,LU1923627092,RUS,EUR,248,0.65%,18.42%,25.19%,80.90%,-23.43%,53.10%,5.54%,-6.75
Lyxor MSCI Russia UCITS ETF - Dist,LU1923627332,RUSL,GBP,25,0.65%,20.30%,25.96%,81.07%,-23.39%,51.98%,5.80%,-6.44
Lyxor MSCI Smart Cities ESG Filtered (DR) UCITS ETF - Acc,LU2023679256,IQCT,USD,35,0.15%,58.76%,-,-,-,-,-,-
Lyxor MSCI South Africa UCITS ETF - Acc,LU1900067270,AFS,EUR,17,0.45%,63.40%,-1.93%,25.89%,-11.33%,11.23%,-19.81%,17.62
Lyxor MSCI Spain UCITS ETF,LU1104577314,C033,EUR,3,0.25%,25.14%,-4.92%,18.34%,-12.92%,15.78%,-12.49%,11.37
Lyxor MSCI Taiwan UCITS ETF - Acc,LU1900066033,TWN,EUR,67,0.45%,69.71%,90.97%,167.90%,24.79%,38.29%,-4.85%,11.34
Lyxor MSCI Thailand UCITS ETF - Acc,LU1900067437,THA,EUR,15,0.45%,14.55%,-12.25%,27.24%,-19.69%,11.27%,-1.12%,16.44
Lyxor MSCI Turkey UCITS ETF - Acc,LU1900067601,TUR,EUR,60,0.45%,-3.90%,-47.22%,-51.85%,-16.97%,12.26%,-39.90%,20.29
Lyxor MSCI USA (LUX) UCITS ETF,LU0392495700,X020,USD,39,0.10%,40.75%,73.15%,111.86%,9.55%,36.17%,-1.16%,6.74
Lyxor MSCI USA ESG Trend Leaders (DR) UCITS ETF - Acc,LU1792117696,LESU,USD,113,0.20%,38.31%,-,-,9.25%,33.03%,-,-
Lyxor MSCI USA UCITS ETF - Dist,FR0010296061,USA,EUR,728,0.25%,40.50%,72.66%,112.24%,10.99%,33.55%,-0.01%,6.84
Lyxor MSCI World (LUX) UCITS ETF,LU0392494562,X010,USD,"2,586",0.20%,38.57%,53.73%,86.65%,5.59%,32.25%,-4.93%,7.51
Lyxor MSCI World Communication Services TR UCITS ETF - Acc (EUR),LU0533034129,TELW,EUR,30,0.30%,46.18%,70.20%,58.68%,12.45%,29.31%,-5.59%,-7.12
Lyxor MSCI World Consumer Discretionary TR UCITS ETF - Acc (EUR),LU0533032008,CODW,EUR,67,0.30%,62.42%,76.12%,118.10%,24.99%,28.58%,-0.80%,8.47
Lyxor MSCI World Consumer Staples TR UCITS ETF - Acc (EUR),LU0533032263,COSW,EUR,39,0.30%,10.53%,30.19%,30.63%,-1.27%,25.15%,-5.49%,2.68
Lyxor MSCI World Energy TR UCITS ETF - Acc (EUR),LU0533032420,NRGW,EUR,63,0.30%,24.62%,-17.29%,-6.98%,-37.30%,13.22%,-11.65%,-7.89
Lyxor MSCI World ESG Trend Leaders (DR) UCITS ETF - Acc,LU1792117779,LESW,USD,257,0.20%,37.40%,-,-,6.48%,30.53%,-,-
Lyxor MSCI World Financials TR UCITS ETF - Acc (EUR),LU0533032859,-,EUR,201,0.30%,45.03%,23.72%,68.70%,-10.70%,27.88%,-12.99%,7.60
Lyxor MSCI World Health Care TR UCITS ETF - Acc (EUR),LU0533033238,HLTW,EUR,460,0.30%,12.84%,52.33%,61.37%,3.83%,25.42%,7.62%,5.08
Lyxor MSCI World Industrials TR UCITS ETF - Acc (EUR),LU0533033402,INDW,EUR,38,0.30%,46.10%,41.67%,76.11%,2.44%,30.09%,-10.34%,9.78
Lyxor MSCI World Information Technology TR UCITS ETF - Acc (EUR),LU0533033667,TNOW,EUR,719,0.30%,52.55%,122.75%,221.73%,31.43%,49.68%,2.03%,21.20
Lyxor MSCI World Materials TR UCITS ETF - Acc (EUR),LU0533033824,MATW,EUR,29,0.30%,51.59%,43.97%,93.83%,9.98%,25.52%,-12.84%,13.04
Lyxor MSCI World UCITS ETF - Dist,FR0010315770,WLD,EUR,"3,208",0.30%,38.27%,53.41%,86.64%,6.42%,30.03%,-4.09%,7.54
Lyxor MSCI World Utilities TR UCITS ETF - Acc (EUR),LU0533034558,UTLW,EUR,24,0.30%,10.61%,39.06%,42.89%,-4.17%,24.39%,6.98%,-0.22
Lyxor Nasdaq-100 UCITS ETF - Acc,LU1829221024,UST,EUR,965,0.22%,53.17%,123.92%,204.01%,36.13%,41.36%,4.65%,16.36
Lyxor Nasdaq-100 UCITS ETF - Daily Hedged to EUR - Acc,LU1954152853,BUNH,EURHedged,2,0.27%,-,-,-,-,-,-,-
Lyxor Nasdaq-100 UCITS ETF - Dist,LU2197908721,NADQ,USD,720,0.22%,-,-,-,-,-,-,-
Lyxor New Energy (DR) UCITS ETF - Dist,FR0010524777,NRJ,EUR,"1,081",0.60%,62.47%,111.79%,165.90%,47.77%,47.50%,-7.68%,15.28
Lyxor Nikkei 225 UCITS ETF,LU0378453376,C020,JPY,84,0.25%,40.72%,44.56%,89.39%,13.63%,24.15%,-4.65%,10.03
Lyxor NYSE Arca Gold BUGS (DR) UCITS ETF,LU0488317701,CD91,USD,333,0.65%,22.96%,63.73%,38.32%,15.44%,53.07%,-14.04%,-7.44
Lyxor Pan Africa UCITS ETF - Acc,LU1287022708,PAF,EUR,37,0.85%,39.26%,-2.47%,22.87%,-6.58%,13.05%,-15.90%,10.80
Lyxor Portfolio Strategy Defensive UCITS ETF,DE000ETF7029,F702,EUR,19,0.41%,15.24%,18.86%,-,4.13%,13.41%,-,-
Lyxor Portfolio Strategy Offensive UCITS ETF,DE000ETF7037,F703,EUR,10,0.53%,38.49%,36.31%,-,6.25%,25.44%,-,-
Lyxor Portfolio Strategy UCITS ETF,DE000ETF7011,F701,EUR,123,0.45%,25.77%,27.92%,-,2.62%,19.93%,-5.75%,5.66
Lyxor Privex UCITS ETF - Dist,LU1812091947,PVX,EUR,27,0.70%,57.57%,60.10%,109.58%,6.26%,36.99%,-8.43%,11.84
Lyxor PSI 20 (DR) UCITS ETF,LU0444605215,-,EUR,19,0.35%,26.87%,2.01%,19.10%,-3.81%,17.28%,-11.21%,17.67
Lyxor Robotics & AI UCITS ETF - Acc,LU1838002480,-,USD,350,0.40%,82.10%,-,-,41.40%,42.34%,-,-
Lyxor S&P 500 Paris-Aligned Climate (EU PAB) (DR) UCITS ETF - Acc,LU2198883410,ZPA5,USD,109,0.20%,-,-,-,-,-,-,-
Lyxor S&P 500 UCITS ETF - Acc,LU1135865084,SP5C,EUR,"1,356",0.09%,38.35%,71.15%,110.43%,8.56%,33.74%,0.27%,6.89
Lyxor S&P 500 UCITS ETF - Daily Hedged to EUR - Dist,LU0959211243,SP5H,EURHedged,980,0.09%,49.80%,54.74%,96.41%,16.84%,27.09%,-7.49%,19.16
