Rating,Review Quote,Full Review,Date of review,Date of visit
50,Thanks kareen😋😋😋,Omg! The best tapas ever! Thank you so much kareen ilove your surprises its so perfect for 3 person.1 of option 2 with ham ibérico and bread with tomato plus the 8 tapas and the half of order option 1...,"Reviewed April 21, 2017",Date of visit: April 2017
50,Authentic friendly Tapas,"Lovely little tapas place. Didn't wait too long. Service by Orlane and Stephanie was superb: smiley, friendly and efficient. Merci les filles!! Highly recommended and would definitely go back.","Reviewed April 21, 2017",Date of visit: April 2017
50,Great Tapas,"The tapas were A-1 and the staff exceptionally friendly. Most of all prices very reasonably. Be sure to arrive early or be prepared to wait, small & cozy restaurant.","Reviewed April 21, 2017",Date of visit: April 2017
50,Best tapas with the best customer service,"My friends and I went to this restaurant after a long day if walking and exploring the city. It surely was the best decision we and I made that evening. Not only was the food great (we ordered the surprise tapas for sharing where the staff will be the one to handpick the tapas for your platter), but customer service was impeccable as well. One of their waitresses, Kareen was very lovely. She selected for us an amazing variety of tapas and always made sure we were alright. Please look for her when you eat there! Kareen's customer service is amazing and we felt right at home. We paired our tapas with some Sangria, another excellent choice from the restaurant. We came in at around 8 in the evening and the line was already long, si u would suggest coming in a little earlier to secure a table. Overall, dining at Bodega Biarritz was a must do, and must repeat experience!Show less","Reviewed April 21, 2017",Date of visit: April 2017
40,Lovely place,"Small tapas restaurant downtown. Come early as waiting time increases. Tapas are presented at the bar and look (and are) really delicious. Very nice staff.We chose the menu where they decide on 8 tapas for you, but I think it's even better to choose the menu where you choose the items yourself. There was so much more I'd liked to have tried. However, they ask you for any preferences or food restrictions. If you prefer a slight alteration to the menu it's no problem. Seats are probably more comfortable at the bar than against the wall, but the latter gives more privacy.Show less","Reviewed April 17, 2017",Date of visit: April 2017
50,A real feast,"Four of us waited about 1/2 hour to get into this tiny 24 seat establishment in Barrio Gothico. So glad we waited. The bar was covered from one end to the other with amazing tapas. They offer a couple of dinner plans, 2 plans where they choose the Tapas for you and another that is self chosen. We opted for the latter plan, each couple sharing choices. The food was excellent and the price was extremely reasonable. Recommended.Show less","Reviewed April 17, 2017",Date of visit: April 2017
50,Wonderful tapas and great atmosphere,"I visited with 2 friends and we had the best time. The tapas were super - flavorful, wonderfully spiced and 2 large platters served 3 of us quite nicely. Plus, in this very congenial atmosphere we became great friends when the couple at the next table. The owner/server was also delightful. I'd go back and highly recommend it!Show less","Reviewed April 17, 2017",Date of visit: April 2017
50,Amazing everything,"Yesyesyes. Second time here, the staff is supernice. The food amazing:) be early to make sure you don't have to wait outside for a while. I'll for sure be back👌😍","Reviewed April 16, 2017",Date of visit: March 2017
40,Great place for eats and wine in the Gothic Quarter,"Can't go wrong here. Tiny little spot, they have very limited seating, so you may have to wait outside! Quirky, cute and fun. Go!","Reviewed April 14, 2017",Date of visit: April 2017
30,Average quality tapas,"The bodega was a welcoming place and I quickly found a place at the bar. They had a nice offering of four tapas for a fixed price with a fairly wide selection. However they had none with seafood. None of the tapas were extraordinary but satisfied my needs. When I tried to pay with my credit card I was told the restaurant required cash and if I had none there was an ATM just down the street. They also told me that their menus advised they accepted cash only, however when i made my choice of tapas from the menu the waiter was holding the menu so did not see the fine print about payment!Show less","Reviewed April 13, 2017",Date of visit: April 2017
50,Tapas on a different level,"We didn't book ahead so we came at 5:00pm which is early for dinner in Spain.We were welcomed by Manuel who is 4th generation of Bodega (1881) in a very friendly manner!The tapas were fantastic. We chose Option 2, with the Iberia ham, meaning everything is picked for us, no hassle & there were fantastic!Thanks Manuel!Show less","Reviewed April 13, 2017",Date of visit: April 2017
50,What a little gem!!!,"My boss recommended this place,'said it was amazing cheap food!! And wow it didn't disappoint!!!Chose the 8 dish surprise tapas menu and wow, every dish they picked was a delight!!! Such a cool little place and amazing food!!! Get yourself there!!! Karren who served us too, was very attentive and lovely!!!! Def recommend!!!Show less","Reviewed April 11, 2017",Date of visit: April 2017
50,excellent services and also the food is affordable and delicious Tapas,thanks KAREEN for your wonderful Mojito strawberry.. taste like heaven and also thank you for your wonderful service i feel like home :),"Reviewed April 10, 2017",Date of visit: April 2017
50,What a gem!,"The most authentic Tapas experience in Barcelona. Worth the short queue where we were served drinks in advance. Be prepared to order blind and be a bit cramped, but worth it for the food and atmosphere!","Reviewed April 10, 2017",Date of visit: October 2016
50,Fantastic restaurant tucked out of the way,"Slightly off the main streets but within 5 minutes of Las ramblas this small restaurant has only a few tables but serves wonderful tapas. Having read the reviews on TA we wanted to try tapas and Bodega Biarritz did not disappoint. Waiting staff were very friendly and patient explaining all the options and dishes, especially our waitress Rosy. Although family friendly our son who is a bit picky did not like the chicken (slightly spicy) or home made burger (its got carrots in it) so not really for small children or picky eaters. Of the 12 - 16 tapas we tried all were tasty and 2 or 3 were heavenly especially the chicken, chorizo and zucchini stack. Will definitely return again as not only was it great but the price was reasonable too.Show less","Reviewed April 10, 2017",Date of visit: April 2017
50,Nice place in the Gothic Quarter,Cosy little place in the Gothic quarter. Good tapas flights and attentive service. Orlane and Kareen took good care of us and customized our orders making helpful suggestions. Go early to avoid long queues,"Reviewed April 9, 2017",Date of visit: April 2017
50,BEST TAPA'S EVER!,"My wife and I ate here last night to celebrate by birthday and wasn't disappointed. The food was absolutely outstanding and by a country mile was the best tapa's my wife and I have ever sampled. The food was only surpassed by our French waitress, Orlane who chose our dishes and was attentive and very friendly. Anyone visiting Barcelona must visit Bodega Biarritz 1881...OUTSTANDING!Show less","Reviewed April 9, 2017",Date of visit: April 2017
50,very tasty,very nice food top plating and full of taste the service excellent friendly next time in barcelona i will be back for sure,"Reviewed April 9, 2017",Date of visit: February 2017
50,Amazing Tapas,"We thoroughly enjoyed eating here, the Tapas were to die for like never experienced before. Lovely young lady Orleane looked after us very well. Hope to return.","Reviewed April 9, 2017",Date of visit: April 2017
40,Nice relaxed tapas bar,"Bodega Biarritz is a good place for a relaxed night out, with good cheap tapas, nice wines and good Mojitos and Caipirinhas. The service is also very friendly and helpful.","Reviewed April 8, 2017",Date of visit: April 2017
50,Fantastic Last Night in Barcelona,"Having spent a lovely 4 days in Barcelona, we had a late flight home but wanted a special meal before our departure. We could not have been happier with our choice at Bodega Biarritz. In addition to the great tapas, a special thanks goes to Rosy, whose fantastic hospitality made it an evening to remember. Thank you Rosy!!!Show less","Reviewed April 8, 2017",Date of visit: April 2017
50,Nice place,Nice place. Good chance to try all the best from Catalunya dishes. Beer was served very cool and fresh. All tapas very good,"Reviewed April 8, 2017",Date of visit: April 2017
50,Tapas dinner,Just visited for dinner whilst staying in Barcelona for 3 nights after reading reviews of tapas bars in Barcelona. After a 15 minute queue the food and atmosphere was well worth the wait! Our lovely waitress Rosy looked after our every need for all of our three and a half hour stay! Will no doubt be visiting again in the future.Show less,"Reviewed April 7, 2017",Date of visit: April 2017
50,Lovely tapas bar with fantastic staff,"We had an evening meal in this small but perfectly formed restaurant.Their first site was full, so a member of staff very happily walked us down the road to their second (equally small but lovely) restaurant.The food was tasty and the staff fantastic - very friendly & super helpful. Special mention to our Italian waitress Rosy who was very lovely, & went above & beyond to make it an excellent evening. Thank you!Show less","Reviewed April 5, 2017",Date of visit: April 2017
40,Good food and great service,We ate here with 11 people - it was tight seating but they made it work and we had a great time. The service was good and the food was fun and interesting. There are two locations for this restaurant about 50 yards apart down the same alley - so if one is full walk down to the other.Show less,"Reviewed April 4, 2017",Date of visit: March 2017
50,Im back again 😊😊😊,Its my second time here again to try everything and it was so awesome... guys try this resto bar while your taking vacation here in barcelona and you will love it also... kareen thank you so much for your wonderful service 😚😚😚,"Reviewed April 4, 2017",Date of visit: April 2017
50,amazing,The food was great and Ms. Kareen Ortizo did an excellent service. She was so accommodating. We will be back for sure!,"Reviewed April 3, 2017",Date of visit: March 2017
40,Great tapas and amazing staff,"Before I get to how good the food was, I want to say that Kareen was amazing!! She was super friendly and helpful. Food was great as well! Everything we ate was so yummy! Space is very small and pretty popular but we didn't have to wait too longShow less","Reviewed April 3, 2017",Date of visit: March 2017
50,Tapas greatness,Always great food and the service is fantastic. Always friendly and helpful. Great team! Kareen is great. Kids loveed it as well!,"Reviewed April 3, 2017",Date of visit: April 2017
50,Dine Inn,Excellent Service Ms. Kareen Otizo! Thank you!!! We enjoy much the delicious food and nice place! till next time.. 😄,"Reviewed April 3, 2017",Date of visit: April 2017
50,"Fun place for tapas, wine and warm service",I loved this spot! Really fun and friendly Filipino staff. Food was delicious and the drinks very nice. A tiny little spot that is popular but once seated you are in for a treat. The tapas are a little untraditional but fully delicious.,"Reviewed April 2, 2017",Date of visit: March 2017
50,Nice tapas and friendly staff,"I went there with a friend after countless visits to disappointing tapas bar, and this was the first one we really enjoyed. The food was good, the staff was friendly (especially the young French waitress Orlane). I recommend this place.","Reviewed April 2, 2017",Date of visit: April 2017
50,This is food - this is service,"Best restaurant in Barcelona, and the staff really know how to give good service and make you feel welcome. Thanks to Rosy for a great night!!! Five 🌟 to you","Reviewed April 1, 2017",Date of visit: April 2017
50,best tapas,We just had the best tapas in town during our short vacation. Good thing that Kareen was accommodating and able to help us with our food choices.,"Reviewed March 31, 2017",Date of visit: April 2017
50,A good place to Visitas,"A small but cozy place, very good food and excellent service, very nice staff and unbeatable location","Reviewed March 31, 2017",Date of visit: March 2017
50,"To early, have a drink in the street while you wait","So having tried getting in here a few nights before and failing, we went early, about 7pm. It's very quirky, we still had to wait, but hardly a challenge in warm weather, drink in hand down a little street in the Gothic Qtr. It's certainly a different way of serving, either let them pick tapas off the bar for you (of you're not a picky eater this could be quite fun surprise way of eating), or like us (husband doesn't eat pork, I don't eat eggs) we have the waiter explain all the dishes then we pick some to be heated. I loved this tiny restaurant, wine was good too.They only take cash, and by the time we left the was a decent queue of people waiting (and it's like this every night). Ps they don't take reservations and there's a larger sister restaurant on the same street a few hundred yards away you can try if you can't get in and the wait is too long. Recommended!Show less","Reviewed March 31, 2017",Date of visit: March 2017
50,Great food and amazing service!,"I'm not much of a reviewer but this was a great experience! While waiting in line outside (as this place is tiny) our host/server to be, served us drinks. Once we were in Kareen was friendly and helpful. I would highly recommend the surprise menu and ask for Kareen if she is there. This place was one of a kind. Thank you Kareen!Show less","Reviewed March 30, 2017",Date of visit: March 2017
50,Great tapas,"Pleasant and helpful staff with a great range of tapas to choose from. All good on display and you just pick what you want, they then prepare and take two or three to you at a time. We got there at 5pm for an early dinner, and already at this time the place fills up quick, very small.Show less","Reviewed March 28, 2017",Date of visit: March 2017
50,"Best tapas("",)",Thank you kareen for a good service... i love it so much... a half of option 1 is 4 pcs and its only 13.50€ i like your mojito strawberry... i'll be back soon 😋😋😋,"Reviewed March 28, 2017",Date of visit: March 2017
50,fantastic,"the server, karen, was excellent..very friendly service and the food was absolutely delicious. i had the tapas and washed it down with a mojito. highly recommended","Reviewed March 27, 2017",Date of visit: February 2017
50,Delious tapas/pinchos,"We have had here dinner. We had the surprise menu, so they surprised us with a selection of pinchos. You are able to choose a second menu or to take what ever you like. Everything is delicious, tastfull and freshly made that day.","Reviewed March 27, 2017",Date of visit: March 2017
50,Thank you Rosy!!!,"Wonderful tapas experience! The menu is very good value, the homemade sangria was the best I had in Barcelona! The staff were extremely friendly and welcoming, especially Rosy who served us!! We will definitely come back again :)","Reviewed March 26, 2017",Date of visit: March 2017
50,Lovely tapas,"We wanted to go to this one but it was to full. The nice waiters took us down the street to their other restaurant which has just the same concept but is a bit bigger. It was nicely designed and the waiters were friendly. You have to get up to chose your tapas. These are then heated and brought to you. If you don't like one you can send it back, but we liked everything we chose.Show less","Reviewed March 26, 2017",Date of visit: March 2017
50,Great food and nice place,"Great to sit here. Great food and nice people. Busy place. Try the sangria and mojitos. You can choose between two menu's and it is not expensive, 20,- per person.","Reviewed March 25, 2017",Date of visit: March 2017
50,Food and drink,"Beautiful place and great service. Really cosy, staff are really friendly, Especially rosy worth her weight in gold.","Reviewed March 24, 2017",Date of visit: March 2017
50,Amazing tapas!,we enjoyed the concept of selecting tapas for 27 euros and our server would choose them for us. All the tapas were excellent and absolutely freshly made. The decor and ambiance is very pleasing and the staff extremely helpful and friendly. Sangria is good too and not too expensive.Show less,"Reviewed March 24, 2017",Date of visit: March 2017
50,Top!,"Was amazing! Lots of different tapas and all delicious, not fancy but also not the typical tourist tapas variations. You see everything and you csn choose the obes you like.The staff crew was friendly, especially nick ;)And the prizes are also okay! Nice house wine.I would really recommend this lovely really small place, with alot of charm, we were more than satisfied!Sehr zu empfehlen, grosse und sehr leckere auswahl!Show less","Reviewed March 23, 2017",Date of visit: March 2017
50,Amazing place with deliciuos food.,This is my first visit in Barcelona. We try this Bar and it is one of the best Tapas Bar in Barcelona. Staff are friendly specially Kareen. she's very professional. Will recommend this to all my Filipino friend. All the best.,"Reviewed March 22, 2017",Date of visit: March 2017
50,Amazing Dinner,"Our first night in Barcelona we walked down here for dinner. There was a short line but decided to stay as it seemed to move quickly. The drinks served to those in line didn't hurt either. We had very helpful servers who brought us a tasting menu of tapas. Having just arrived from Sevilla, the presence of vegetables was appreciated. Tapas were rich with cheese and pastry, all delicious. The beer was served so cold, fragments of water were freezing into bits of icicles within the glass, also delicious. Overall would highly recommend this restaurant!Show less","Reviewed March 22, 2017",Date of visit: March 2017
50,Amazing place to dine with your Family.,This is a great restaurant for a family. Nice ambiance and the foodies are perfect. The staff are friendly and very professional especially that lady named Kareen. I'd recommend this to my friends in the Philippines who'd plan to visit here. =),"Reviewed March 20, 2017",Date of visit: January 2017
50,Loved it!!,"Ended up changing our plans in Barcelona last minute and ended up here for dinner. No reservation needed, had about a 20min wait but was so worth it! Teeny restaurant (not good if more than 3 of you in a group) great atmosphere, sit at the bar you can see all the food and the service is great! Amazing tapas you can either choose from what's in front of you or be surprised. My friend and I shared 8 tapas which all was better than the next couldn't recommend enough. Still thinking about the food 3 days later and was so reasonably priced!Loved!!Show less","Reviewed March 20, 2017",Date of visit: March 2017
50,A great time all around,Amazing service (shout out to RJ) and even better food. Cute little place with fun authentic ambience. Would definitely go back!,"Reviewed March 20, 2017",Date of visit: March 2017
50,Manjot Singh( Canada) 🇨🇦,I must recommend all to have a food with ur family or friends with you in this restaurant. Super delicious food and a very kind staff it's awesome to visit here always..,"Reviewed March 19, 2017",Date of visit: February 2017
50,Great Dinner,"Our dinner was amazing! We had option 1 where 8 Tapas were chosen for us. Our waitress, Rosie was wonderful. We are coming back tonight after going last night, because it was so good! The bartender and manager were both the best. They made us feel at home. Hands down the best meal we had in Spain.Show less","Reviewed March 19, 2017",Date of visit: March 2017
50,awsome,"tapas are great and also the staff ill be back soon...they are accommodating and friendly, also the ambiance is great also..........""........","Reviewed March 18, 2017",Date of visit: January 2017
50,"Great tapas, excellent service!!",It was the first time we experienced spanish cuisine... The food is really good..but I was really impressed by the good service of a blond girl...Rozy was her name..always with a smile to help us and make our night as good as possible!! I liked her attitude...Bravo Rosy! :-)Show less,"Reviewed March 18, 2017",Date of visit: March 2017
50,Out of the world,"Been to spain first time as I'm from u.k found this little gem , incredible food, soo much to choose, excellent service so attentive and great atmosphere all around big thanks to all the staff ..looking forward to see u guys nxt year...","Reviewed March 18, 2017",Date of visit: March 2017
50,Mr,Excelent food. You have to try it. One of place which I will remember from my trip to this lovely contry.,"Reviewed March 17, 2017",Date of visit: September 2016
50,Vacation 2017,"Hey guy's try this ""beefburger"" its a spanish burger... all of the tapas here very delicious thank you kareen for a good service... everything is amazing and we love it... hope to see you again soon... ih wait i love your mojito strawberry... see you next year...Show less","Reviewed March 17, 2017",Date of visit: January 2017
50,Amazing,It was a really nice experience for me and my wife to spend a gloomy evening in this place after a long day of walking around in Barcelona.,"Reviewed March 17, 2017",Date of visit: January 2017
50,You gotta try this place out,"Excellent food, excellent vibes, excellent service. The owners were friendly and the food was really good.","Reviewed March 17, 2017",Date of visit: February 2017
50,The best tapas,Perfect quality 100% recommendable especially the tapas for 8 € I plan to return The waiters very friendly and very good attention,"Reviewed March 17, 2017",Date of visit: March 2017
50,Very good restaurant,"The food has been excellent, the atmosphere and the attention they lent us. We really enjoyed their tapas and the menu","Reviewed March 17, 2017",Date of visit: March 2017
50,Tapas y cervezas,Being our first day after long travels in Barcelona I wanted a good tapa place but near our La Rambla hotel. This was truly a TA find in a touristy area. The service was incredible (our waitress Rosa was a cute gem) and the 39 Euro 8 tapa for 2 was good to excellent. The ambiance was perfect for our first night.Show less,"Reviewed March 16, 2017",Date of visit: March 2017
50,Brilliant,"We stumbled across the sister bar to this one on our first night and were amazed by the food, brilliant choice all on display, they prepare the food during the day so it's all fresh. We did look for somewhere else to eat but couldn't find anywhere upto the standard of these bars so went back every day. Highly recommended.Show less","Reviewed March 16, 2017",Date of visit: February 2017
50,The perfect tapas,"We were here because we read the recommendation on a website. The meal was perfect, we chose the 8 tapas Version. The house wine was very good too. Kareen served us and we wondered how she is not running out of smiles...","Reviewed March 15, 2017",Date of visit: March 2017
40,Great food but a little fast,Really enjoyed the tapas here. Loads to choose from with plenty of vegetarian options. You can pay a set price and the waiters bring a selection to you however we chose three pieces each as we didn't need a large meal. Everything is explained by the waiter so you can make a good choice. The restaurant was full and people queue for tables. It is tiny inside however they do have another restaurant 1 min walk away. It's not a place where you can take your time as they want you to make your selection quickly. Also they don't do just drinks. Cash only too. Luckily we were aware of this before we visited and enjoyed our tapas experience with great food even if we were 'in and out' quite quickly!Show less,"Reviewed March 15, 2017",Date of visit: March 2017
50,Best tapas!,"This has become a staple in Barcelona, we love to visit every time we come. Amazing food, great atmosphere and lovely staff.","Reviewed March 13, 2017",Date of visit: March 2017
50,Favourite spot,"We ate here many times, most recently on the 8th and 9th of March. The food is excellent, the choice is very extensive, the service is excellent and the atmosphere is very friendly. We will definitely be back.","Reviewed March 13, 2017",Date of visit: March 2017
50,Delicious and Delightful,"I would go back just to get service from Rosy and the crew of men that helped offer an excellent experience. The meal was delicious, the environment was comfortable, and the price was right.","Reviewed March 12, 2017",Date of visit: March 2017
50,Great tapas!,The food is amazing and the service great! The waitress Rosy was Very kind and helpfull!!! The restaurant is small and because of that very cosy!,"Reviewed March 11, 2017",Date of visit: March 2017
10,Baaaaaa (yeah as is sheep) - follow the tourist.,"If you go, try spotting a local? This is basically a fixed price meal serving machine for tourists. Forget the notion of having a drink and chilling. We had good intentions but after half a glass of wine, 15 minutes and 127000 requests for ""Would you like to try our fixed priced, we pick"" menu we literally gave up and left. To boot, if you do eat and it's busy they state, even on the menu, that they will not serve you any more drinks. Think factory farming folks and skip this place. Dream bigger and head for a place more Spanish. You are in Spain after all. Utter bs. It's more fitting to Piccadilly circus or time Sq.Show less","Reviewed March 10, 2017",Date of visit: March 2017
50,Great Tapas,"The Bodega Biarritz in Barcelona has the best Tapas I have found to date. It is fresh, Large and could be an entire meal. The atmosphere is great and our waitress Rosy was a delight. We will go back soon.","Reviewed March 10, 2017",Date of visit: March 2017
50,Nice place with good food,"It's a little place but it's so worth it and now they have opened another bodega in the same street so that is not an inconvenience anymore. We were attended by Orlane, a very nice girl who made a perfect service and the food was amazing. If you want to experience a typical Spanish place while in Barcelona, go there. Also, their mojitos are the best.Show less","Reviewed March 9, 2017",Date of visit: March 2017
50,City Break,"Well, what can we say. Me and my wife travelled to Barcelona on the 2 March 17 for her birthday and we stumbled into this beautiful and well run Tapas bar. It is managed by a husband and wife team in fact there are two restaurants with the same name only 100 metres apart on the same street one run by the wife and one by the husband. We visited both and on arrival were treated by friendly staff and a lovely atmosphere. The tapas are excellent, fab choice and accompanied by your preferred tipple makes a great hour or so of your visit.The owner Fareenu and his wife were excellent hosts and advised us on choice of tapas. This is a must visit place if you are in Barcelona and we will be certainly going again on our next visit. I cannot speak more highly about this place.Mr & Mrs K ChavdaShow less","Reviewed March 7, 2017",Date of visit: March 2017
50,Best tapas we had!!,"Great little place for tapas. Theses were the best we had in Barcelona by a long shot! Everything was amazing. Service was great, Rosy our waitress was amazing and made the whole experience one to remember.","Reviewed March 6, 2017",Date of visit: March 2017
50,Delish!,"Found this place on google and decided to check it out for our last dinner in Barcelona! Was delicious! And only $33 euro all up for 2 of us with 8 tapas and 2 wines. Everything selected for us was great - Thanks, Rosy!","Reviewed March 6, 2017",Date of visit: March 2017
50,Great food,"The tapas, sangria and service was amazing. They have vegetarian options and the waiters can speak several languages. Would definitely come back.","Reviewed March 5, 2017",Date of visit: March 2017
40,"Great Tapas, Great Atmosphere","The service was amazing. The selection of tapas was great. The staff are very knowledgable. The tapas are set out on the bar so you can pick what you like and the staff explain the ingredients well. Everything I tried was very tasty, however, I found that many of the tapas were too similar and I was somewhat limited by a food allergy to zucchini (not the restaurants fault, just bad luck). I would say that the prices are steep based on what you are getting. I didn't feel ripped off but was slightly shocked when I got the bill for just under 40 euros (8 single tapas and 3 glasses of sangria). All in all, it was a great experience and would recommend this restaurant to anyone visiting Barcelona.Be aware this is a cash only establishment, so be prepared!Show less","Reviewed March 5, 2017",Date of visit: March 2017
50,Taste of my life,What a great place to eat tapas!.) one of my best meal ever. Flan con champignons! If i would be able to eat one thing till end of my life would be that. And very nice crew!,"Reviewed March 5, 2017",Date of visit: March 2017
50,Lovely Spanish food in a nice ambient,Small place with lovely food and very friendly stuff. They have a big selection of tapas and we were lucky to have Orlane as our waitress to give us some tips on what to order. The food is delicious and the place have a great atmosphere.Show less,"Reviewed March 3, 2017",Date of visit: February 2017
50,Very good!,"Food is excellent, staff is great, especially Rosie! You must try this restaurant when in Barcelona! Best tapas!","Reviewed March 1, 2017",Date of visit: March 2017
50,"Tapas, very friendly, nice ambient","Very nice tapa bar, very friendly service, excellent tapas, great variety,typical Spanish ambient. Very nice conversation with Federico from Argentina.","Reviewed February 28, 2017",Date of visit: February 2017
50,Great Tapas,"Highly recommended, we really liked the food and service. A lot of different and good Tapas to choose from.","Reviewed February 26, 2017",Date of visit: February 2017
50,Great Tapas experience,"Heard good things and so headed here for Friday night dinner. Just off Placa del Teatro this place is in a prime location but hidden away. You may need to wait outside as it's tiny (only seats about 15) but waitress will greet you in whatever language you prefer (she was amazing) and get you some drinks while you wait. We were seated v quickly at the bar, ordered the Option 2 Tapas xperience which gives you bread and jamon to start and then 8 Tapas selections all personalised and chosen by a chef.The food was incredible (go for the cheese coated burger on a potatoe rosti with courgettes and peppers, it will blow your mind) and the Sangria is cheap! Be aware no food = no drinks so make sure you're hungry!Show less","Reviewed February 25, 2017",Date of visit: February 2017
50,**Execellent**,"You will Surprisely Amazed, The taste of this authentic Tapas en bodega biatriz I recommend you to try this delicious awesome tapas in barcelona A friendly and approachable staffs that will assist you!!! Good food, services, good management An Excellent restaurant!!!","Reviewed January 26, 2017",Date of visit: February 2016
50,Great!,"The best tapas in the city :) Little small place, it was my favorite The staff was nice, mainly Kareen ! Thanks for everything","Reviewed January 23, 2017",Date of visit: January 2017
50,amazing,"amazing , tapas great service , smily staff , good food , and perfect ambiance , the lovely system is to pic your tapas they heat it up and bring to you , you don't like , don't worry they change it with smile .","Reviewed January 22, 2017",Date of visit: January 2017
50,lovely tapas place,"verry good staff , nice attention , wonderfuls food , and amazing ambiance , verry good music , try the iberian ham bellota and bred with tomato and olive oïl , incredible experience . thanks a lot guys","Reviewed January 21, 2017",Date of visit: January 2017
50,Very authentic tapas!,"When we visited this tapas bar there's a long line outside and its paying us attention... So we go this bar and waited for only 30 minutes just to come inside and try all the type of tapas... The first tapas that we tasted is so delicious... Thanks to kareen because she offered us the second option, its 8 tapas with bread and tomato and jamon iberico... We love all the tapas that they bring us and if we don't like one of them they can change our tapas that we don't like to eat... We love the sangria and mojitos its very cheap...Its 100% authentic tapas and i highly recommended guys and you will never this appointed ...Show less","Reviewed January 20, 2017",Date of visit: December 2016
50,An accidental find,"A late afternoon walk around the gothic quarter of Barcelona, I fell upon this little gem. Little being a good word to describe this small tapas bar as it must only have about 20 seats but I was lucky to find it as it was opening and it was empty. The bar has two rules, firstly it does not accept cards so it is cash only and secondly, they will only serve you a drink if you order food.So let's talk about the food.... the bar top is covered in plates of various dishes (Think of Basque Bars!). The owner and staff (especially the French waitress, Orlane who speaks perfect English and if very friendly) are passionate about the food and explain they open at 5pm because they spend the previous 7 hours cooking the food. The food is in one word, wonderful. Now the shock horror... you pick the food to be warmed up and rather then being nuked in a microwave it is warmed up the old fashion way in the oven. Dishes are served as the get to temperature which spreads out the time giving you more chance to drink. The dishes are served and garnished as if they are a course of a tasting menu in a top restaurant. Ingredients are fresh and meat is moist. Tortilla with pesto is fresh and the chicken stacked with numerous vegetables filling.On the Saturday night I had this fantastic idea of a revisit but unfortunately the queue outside confirmed the popularity of the bar and I had to dine elsewhere. If you can find the place and the queue isn't very long, this is a good place to try.Show less","Reviewed January 13, 2017",Date of visit: December 2016
50,excellent service,"my wif and i , went in this funny bar restaurant by the good reviews of TA , and did not be disppointed , we recommend to every body , wonderfull staff .try the vegetarians tapas , amazing","Reviewed January 12, 2017",Date of visit: January 2017
50,best tapas in barcelona,"we went there two times and for the last night we had to try the second bodega biarritz that the tapas are awsome , and personal working like the artists , thanks a lot","Reviewed January 11, 2017",Date of visit: January 2017
50,Tasty and great service (Filipino style),"Super tasty tapas and lovely service particularly by the Filipino staff - Nicholas and Kareen. Warm and cozy, it's only small and only seats about 20 people at most but there is always a queue outside. We are there twice and would love to come back.Show less","Reviewed January 6, 2017",Date of visit: January 2017
50,WELL WORTH THE WAIT,"Weloved this place, well worth a visit, be prepared to queue, lovely tapas, great staff, put this place on your must do list when next in Barcelona, Cash only, no cards","Reviewed January 5, 2017",Date of visit: January 2017
50,A Must Visit!,"The food, service, and atmosphere is top notch! The restaurant is very cozy so it gets quite busy very quickly. However, you can order a drink while you are waiting in line. The selection of tapas is fantastic and the prices are reasonable. It was so good, we went back a second time during our 5 day stay in Barcelona. Nicholas, Mini, and Kareen took very good care of us.Show less","Reviewed January 4, 2017",Date of visit: January 2017
50,Definitely Worth a Visit!,"We were a little unsure as we had to queue outside at first with no indication of how long the wait would be. The wait was made more enjoyable by having a glass of wine (only 3 euros). Once seated, we ordered a tasting style menu so every plate was a surprise. Food was stunning and we loved not knowing what was coming next. Hostess was very accomodating - nothing was too much trouble. Would definitely go again.Show less","Reviewed January 3, 2017",Date of visit: December 2016
50,Yummmmm...,"The best tapas I ever had. The beer are cold. If you are in Barcelona, must try this place. Small place and often you may have to wait. We were lucky enough to get in within 2 minutes.","Reviewed December 30, 2016",Date of visit: December 2016
40,Wonderful tapas bar,The bar itself is tiny and can sit about 20. We got there about 6pm and had to wait outside for 5 minutes. We went for the option 1 menu and got to choose a few tapas with others picked by the staff. Very tasty and staff were very attentive. Four of us had about 12 tapas with 4 drinks and the bill came to €55. I think it's quite reasonable.Show less,"Reviewed December 30, 2016",Date of visit: December 2016
50,First dinner in Spain,"The service was great...No seafood, no gluten free, and they don't take credit cards. There was a line when we arrived and the hostess started gave us drinks while we waited. Very accommodating and you want to eat everything. Check this place out if you're in the area.Show less","Reviewed December 30, 2016",Date of visit: December 2016
50,Fantastic,"Fantastic all round experience Our server Kareen went out of her way to ensure we enjoyed every part Of our evening, a lovely and delicious way to spend Christmas away from home, thanks guys!!!","Reviewed December 29, 2016",Date of visit: December 2016
40,good wine,"here you can fine good variety of wines, is located near city center, very authentic design and smells like a vineyard","Reviewed December 27, 2016",Date of visit: June 2016
50,Dinner,"Had dinner on 12/23 and it was great! The surprise specials are for couples but if you have one or more than two, they are more than willing to price accordingly. The staff, especially Kareen and Orlane, were awesome and the guys there were great!! The food was quite tasty and we are considering returning for another meal in the next few days. A defiinite ""go to"" place in Barcelona!!Show less","Reviewed December 24, 2016",Date of visit: December 2016
50,Best service at a tapas Bar in Barcelona ever!!!,"A very small but so nice tapas restaurant.Personal hint: Us visitors need to get them sell their T-shirt having such a great LOGO! So: ask for it while visiting...All staff was very friendly, Orlane was the best of them.Don't miss this place visiting 'Barca'Show less","Reviewed December 22, 2016",Date of visit: December 2016
